IDs,Sub_ID,Extension,Ref,Baitset
TCGA-EL-A3T3-01,TCGA-EL-A3T3,1,01,Agilent Custom
TCGA-BP-4974-01,TCGA-BP-4974,1,01,Agilent Custom
TCGA-62-A470-01,TCGA-62-A470,1,01,Agilent Custom
TCGA-GL-7773-01,TCGA-GL-7773,1,01,Agilent Custom
TCGA-FD-A6TB-01,TCGA-FD-A6TB,1,01,Agilent Custom
TCGA-MX-A666-01,TCGA-MX-A666,1,01,Agilent Custom
TCGA-HU-A4HD-01,TCGA-HU-A4HD,1,01,Agilent Custom
TCGA-37-4130-01,TCGA-37-4130,1,01,Agilent Custom
TCGA-55-8094-01,TCGA-55-8094,1,01,Agilent Custom
TCGA-D7-8572-01,TCGA-D7-8572,1,01,Agilent Custom
TCGA-HU-A4GH-01,TCGA-HU-A4GH,1,01,Agilent Custom
TCGA-BT-A2LA-01,TCGA-BT-A2LA,1,01,Agilent Custom
TCGA-EB-A4IS-01,TCGA-EB-A4IS,1,01,Agilent Custom
TCGA-55-8507-01,TCGA-55-8507,1,01,Agilent Custom
TCGA-98-7454-01,TCGA-98-7454,1,01,Agilent Custom
TCGA-FB-AAPZ-01,TCGA-FB-AAPZ,1,01,Agilent Custom
TCGA-56-7822-01,TCGA-56-7822,1,01,Agilent Custom
TCGA-85-8287-01,TCGA-85-8287,1,01,Agilent Custom
TCGA-BP-5000-01,TCGA-BP-5000,1,01,Agilent Custom
TCGA-56-8629-01,TCGA-56-8629,1,01,Agilent Custom
TCGA-55-A490-01,TCGA-55-A490,1,01,Agilent Custom
TCGA-44-8119-01,TCGA-44-8119,1,01,Agilent Custom
TCGA-55-6969-01,TCGA-55-6969,1,01,Agilent Custom
TCGA-2J-AABK-01,TCGA-2J-AABK,1,01,Agilent Custom
TCGA-05-4382-01,TCGA-05-4382,1,01,Agilent Custom
TCGA-BF-A3DM-01,TCGA-BF-A3DM,1,01,Agilent Custom
TCGA-EB-A299-01,TCGA-EB-A299,1,01,Agilent Custom
TCGA-93-A4JQ-01,TCGA-93-A4JQ,1,01,Agilent Custom
TCGA-44-7669-01,TCGA-44-7669,1,01,Agilent Custom
TCGA-4Z-AA80-01,TCGA-4Z-AA80,1,01,Agilent Custom
TCGA-BA-A4IF-01,TCGA-BA-A4IF,1,01,Agilent Custom
TCGA-B0-5084-01,TCGA-B0-5084,1,01,Agilent Custom
TCGA-S9-A6TW-01,TCGA-S9-A6TW,1,01,Agilent Custom
TCGA-2J-AAB8-01,TCGA-2J-AAB8,1,01,Agilent Custom
TCGA-FD-A3B8-01,TCGA-FD-A3B8,1,01,Agilent Custom
TCGA-DJ-A2Q4-01,TCGA-DJ-A2Q4,1,01,Agilent Custom
TCGA-DJ-A2Q5-01,TCGA-DJ-A2Q5,1,01,Agilent Custom
TCGA-VQ-A94O-01,TCGA-VQ-A94O,1,01,Agilent Custom
TCGA-60-2703-01,TCGA-60-2703,1,01,Agilent Custom
TCGA-XF-AAMG-01,TCGA-XF-AAMG,1,01,Agilent Custom
TCGA-IN-A6RI-01,TCGA-IN-A6RI,1,01,Agilent Custom
TCGA-ET-A3BU-01,TCGA-ET-A3BU,1,01,Agilent Custom
TCGA-GV-A3JZ-01,TCGA-GV-A3JZ,1,01,Agilent Custom
TCGA-CR-7394-01,TCGA-CR-7394,1,01,Agilent Custom
TCGA-TT-A6YK-01,TCGA-TT-A6YK,1,01,Agilent Custom
TCGA-DJ-A4UQ-01,TCGA-DJ-A4UQ,1,01,Agilent Custom
TCGA-HV-A7OP-01,TCGA-HV-A7OP,1,01,Agilent Custom
TCGA-56-8628-01,TCGA-56-8628,1,01,Agilent Custom
TCGA-CV-A465-01,TCGA-CV-A465,1,01,Agilent Custom
TCGA-86-8076-01,TCGA-86-8076,1,01,Agilent Custom
TCGA-4Z-AA7W-01,TCGA-4Z-AA7W,1,01,Agilent Custom
TCGA-DK-AA6W-01,TCGA-DK-AA6W,1,01,Agilent Custom
TCGA-GU-A42P-01,TCGA-GU-A42P,1,01,Agilent Custom
TCGA-50-5946-01,TCGA-50-5946,1,01,Agilent Custom
TCGA-98-A53D-01,TCGA-98-A53D,1,01,Agilent Custom
TCGA-HC-A6HX-01,TCGA-HC-A6HX,1,01,Agilent Custom
TCGA-SW-A7EB-01,TCGA-SW-A7EB,1,01,Agilent Custom
TCGA-S9-A7R7-01,TCGA-S9-A7R7,1,01,Agilent Custom
TCGA-28-1753-01,TCGA-28-1753,1,01,Agilent Custom
TCGA-44-8120-01,TCGA-44-8120,1,01,Agilent Custom
TCGA-CU-A5W6-01,TCGA-CU-A5W6,1,01,Agilent Custom
TCGA-K4-A3WU-01,TCGA-K4-A3WU,1,01,Agilent Custom
TCGA-B0-5083-01,TCGA-B0-5083,1,01,Agilent Custom
TCGA-RD-A7C1-01,TCGA-RD-A7C1,1,01,Agilent Custom
