sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,autosome_median_gene_level_ratio,ratio_ne_e,ratio_ne_a,ratio_e_a,XIST_TPM,Classification,Secondary_Class
TCGA-KL-8342-01,0.749380182,0.632814361,0.925368791,1.184202237,0.809817869,0.683850987,2.871092875,KICH,
TCGA-KL-8334-01,1.109877514,0.998609284,1,1.111423187,1.109877514,0.998609284,2.34095954,KICH,
TCGA-KO-8417-01,1.195048489,1,1,1.195048489,1.195048489,1,2.000970642,KICH,
TCGA-KL-8330-01,1.088326061,0.868111258,1,1.253671175,1.088326061,0.868111258,0.891001645,KICH,
TCGA-KL-8329-01,1.082418892,0.940073682,1,1.151419206,1.082418892,0.940073682,1.291009843,KICH,
TCGA-KN-8421-01,0.901592275,0.826981167,1,1.090221048,0.901592275,0.826981167,1.611048582,KICH,
TCGA-KM-8438-01,0.545884424,0.49383269,0.695877237,1.105403581,0.784455066,0.709654899,2.060936422,KICH,
TCGA-KN-8418-01,1.112686951,0.889984486,1,1.25023185,1.112686951,0.889984486,1.161025774,KICH,
TCGA-KL-8336-01,1.150092165,0.902764514,1,1.273966961,1.150092165,0.902764514,1.80100227,KICH,
TCGA-KN-8431-01,0.5920795,0.512018754,0.758694094,1.156362918,0.780392921,0.674868512,2.070960447,KICH,
TCGA-KL-8324-01,0.713912359,0.562568051,0.991462421,1.269024001,0.720059928,0.567412379,1.281026216,KICH,
TCGA-DA-A1I8-06,1,0.701473808,0.941521795,1.425569976,1.062110304,0.74504256,2.970899907,SKCM,
TCGA-YG-AA3P-06,0.975310007,0.865725556,0.518533631,1.126581052,1.880900194,1.669564912,1.740980447,SKCM,
TCGA-GF-A3OT-06,0.812412503,0.449681804,0.661151656,1.806638596,1.228783889,0.680149252,2.891062905,SKCM,
TCGA-FS-A4F0-06,1.386048676,0.912098209,1,1.519626574,1.386048676,0.912098209,2.761017439,SKCM,
TCGA-FS-A1Z3-06,0.961117398,0.808352204,0.913517979,1.188983456,1.052105618,0.884878265,2.021042976,SKCM,
TCGA-EB-A3Y7-01,0.329886362,0.198941475,0.422571177,1.658208081,0.780664607,0.470788085,0.710989422,SKCM,
TCGA-BF-A3DL-01,0.43518074,0.345302234,0.431659813,1.260289386,1.008156717,0.799940656,2.361003205,SKCM,
TCGA-EE-A2GU-06,1.171735472,0.975435151,0.928943674,1.201243846,1.261363315,1.050047681,2.81103224,SKCM,
TCGA-BF-A1PZ-01,0.821016645,0.808851618,0.701725928,1.015039875,1.169996166,1.152660299,0.650986712,SKCM,
TCGA-D3-A1Q1-06,0.442910081,0.297675659,0.575792693,1.487894855,0.769217961,0.516984086,1.211000953,SKCM,
TCGA-EB-A4OY-01,0.179111092,0.212927493,0.331895807,0.841183492,0.539660605,0.641549211,2.490956797,SKCM,
TCGA-Z2-AA3V-06,0.284143403,0.200221679,0.396705737,1.419144043,0.716257358,0.504710823,1.811016888,SKCM,
TCGA-FR-A3YO-06,0.340738661,0.338406447,0.401486809,1.006891754,0.848692045,0.842883102,1.330990247,SKCM,
TCGA-EB-A6QZ-01,0.842433955,0.641091982,0.742628642,1.314060975,1.134394645,0.863273978,1.63104886,SKCM,
TCGA-WE-AAA4-06,0.395419213,0.333917916,0.45379,1.184180886,0.871370486,0.735842385,2.901099948,SKCM,
