sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,autosome_median_gene_level_ratio,ratio_ne_e,ratio_ne_a,ratio_e_a,XIST_TPM,Classification,Secondary_Class
TCGA-KL-8323-01,1,1,1,1,1,1,54.5497243,KICH,
TCGA-KO-8414-01,0.78941429,0.802801085,1,0.983324891,0.78941429,0.802801085,4.271077274,KICH,
TCGA-KL-8325-01,1.25596047,1.194209096,1,1.051709013,1.25596047,1.194209096,69.85057081,KICH,
TCGA-KN-8434-01,1.019755879,0.983977856,1,1.036360597,1.019755879,0.983977856,62.33195252,KICH,
TCGA-KO-8410-01,1.030708247,0.950540667,1,1.084338927,1.030708247,0.950540667,5.391175968,KICH,
TCGA-KL-8331-01,0.797519362,0.72654976,0.897655145,1.097680305,0.88844738,0.809386282,57.53229036,KICH,
TCGA-KN-8424-01,1.119630612,1.027342462,1,1.089831924,1.119630612,1.027342462,57.01224867,KICH,
TCGA-KN-8422-01,0.376886094,0.415727235,0.539485415,0.906570612,0.698602934,0.770599581,22.17097022,KICH,
TCGA-KN-8433-01,0.564880804,0.761216811,0.795283819,0.742076101,0.710288315,0.95716371,11.61083642,KICH,
TCGA-KN-8432-01,1.496772198,1.329825959,1,1.125539916,1.496772198,1.329825959,7.130978232,KICH,
TCGA-KO-8415-01,0.638135699,0.715699103,0.893383526,0.891625678,0.714290873,0.801110701,4.800883741,KICH,
TCGA-KN-8437-01,0.778747222,0.922696962,1,0.84399023,0.778747222,0.922696962,27.34111171,KICH,
TCGA-KM-8441-01,0.899991147,0.906889709,1,0.992393163,0.899991147,0.906889709,39.15975951,KICH,
TCGA-KL-8327-01,0.272438028,0.336195662,0.444447575,0.810355572,0.612981245,0.756434911,118.2830877,KICH,
TCGA-KN-8429-01,1.103030627,1,1,1.103030627,1.103030627,1,5.350968366,KICH,
TCGA-KO-8406-01,1.134950924,1,1,1.134950924,1.134950924,1,4.410982388,KICH,
TCGA-EE-A29T-06,0.932176394,0.719957477,0.587717699,1.294765905,1.586095494,1.225005608,22.50073151,SKCM,
TCGA-EE-A182-06,0.279322595,0.234113898,0.366296913,1.193105567,0.762557873,0.639136967,5.211143561,SKCM,
TCGA-D3-A51N-06,0.498915059,0.496135321,0.681778815,1.00560278,0.731784338,0.727707154,383.8237036,SKCM,
TCGA-EB-A5FP-01,0.977409739,1.091578246,0.817258644,0.89540969,1.195961335,1.335658245,77.05945086,SKCM,
TCGA-BF-A1PU-01,0.835977618,0.800157058,0.640329085,1.044766911,1.305543724,1.249602863,10.09101927,SKCM,
TCGA-EB-A5SH-06,0.479917045,0.354310913,0.421046912,1.354508222,1.139818465,0.841499849,4.021127274,SKCM,
TCGA-D3-A2JN-06,0.540239704,0.433624906,0.543884206,1.245868713,0.993299121,0.797274312,74.48097223,SKCM,
TCGA-D3-A2JL-06,0.560193108,0.548976933,0.538502211,1.02043105,1.040280052,1.019451586,48.04119058,SKCM,
TCGA-D3-A3CC-06,0.742104715,0.649180616,0.80868628,1.143140594,0.917667003,0.802759527,20.33086933,SKCM,
TCGA-EB-A550-01,0.778724276,0.963514112,0.77773924,0.808212631,1.001266538,1.238865242,86.64232186,SKCM,
TCGA-DA-A95V-06,0.292090176,0.236726488,0.422576664,1.233871959,0.691212272,0.56019773,6.180827493,SKCM,
TCGA-EE-A2GM-06,0.951196596,0.781138526,0.701557038,1.217705393,1.355836439,1.113435521,25.72144877,SKCM,
TCGA-D3-A51T-06,0.915435167,0.959952329,0.800989589,0.953625653,1.142880232,1.198457935,107.5079844,SKCM,
TCGA-EB-A85J-01,0.592356464,0.410834817,0.64381963,1.441836084,0.920065864,0.638120986,6.390815332,SKCM,
TCGA-WE-A8ZO-06,0.977631207,0.737158185,0.838858198,1.326216309,1.165430831,0.878763761,4.340917488,SKCM,
TCGA-D3-A8GD-06,1.045768626,1.030808935,0.889504009,1.014512574,1.175676124,1.15885811,150.6023008,SKCM,
TCGA-FW-A5DY-06,0.68415596,0.644247374,0.70762286,1.061946058,0.966836996,0.910438894,95.88279106,SKCM,
TCGA-WE-A8ZT-06,0.982012727,0.851132887,0.801780838,1.153771336,1.224789469,1.061553041,142.6563346,SKCM,
TCGA-FS-A1ZJ-06,0.990438101,1.154164623,0.779561924,0.858142834,1.270505999,1.480529753,4.381120817,SKCM,
TCGA-FR-A729-06,0.963877805,0.839744294,0.9455307,1.147822988,1.019404029,0.888119544,108.338334,SKCM,
TCGA-FR-A7U9-06,0.967211184,0.811674213,0.728506265,1.191624877,1.327663509,1.114162296,75.65166869,SKCM,
TCGA-HR-A5NC-01,1.043408867,0.827813547,0.81094564,1.260439469,1.286656979,1.020800293,7.831018738,SKCM,
TCGA-EB-A42Y-01,0.7661131,0.685478887,0.800989589,1.117631942,0.956458249,0.855790008,4.640885166,SKCM,
TCGA-EE-A29X-06,0.826858914,0.774511245,0.668042011,1.067588003,1.237734903,1.159375058,6.490816632,SKCM,
TCGA-DA-A1HW-06,0.966342099,0.983666042,0.779928696,0.98238839,1.239013392,1.261225606,27.46076669,SKCM,
TCGA-ER-A2NG-06,1.038473935,1.06821019,0.780085116,0.972162543,1.331231572,1.369350816,13.8613897,SKCM,
TCGA-EE-A2MF-06,1.112728351,1.202462128,0.810061304,0.925374966,1.373634743,1.4844088,88.70847268,SKCM,
TCGA-FS-A1YX-06,1.22995034,1.158518551,0.868922802,1.061657873,1.415488622,1.333281332,103.3575523,SKCM,
TCGA-D3-A5GR-06,1.586320218,1.318925626,0.853983703,1.202736672,1.857553268,1.544438871,149.2409874,SKCM,
TCGA-BF-AAP7-01,0.594089761,0.566504393,0.57369754,1.048694006,1.035545247,0.987461778,28.00087489,SKCM,
TCGA-D3-A1Q4-06,0.908207706,0.778791227,0.780773858,1.166176087,1.163214799,0.997460685,10.51079581,SKCM,
TCGA-D3-A3CE-06,0.985428215,0.868395816,0.800989589,1.134768498,1.23026345,1.084153687,118.8501571,SKCM,
TCGA-EE-A3AF-06,0.712677489,0.774665051,0.64142826,0.919981465,1.11107903,1.207718929,12.28137342,SKCM,
TCGA-EB-A3XD-01,0.658244444,0.681500176,0.665662308,0.965875677,0.988856416,1.023792647,9.281126991,SKCM,
TCGA-D3-A2JG-06,0.614505363,0.427134397,0.534884712,1.438669813,1.148855724,0.798554132,99.18155916,SKCM,
TCGA-EE-A181-06,1.212585616,0.878684439,0.923490907,1.380001241,1.313045539,0.951481419,10.25105153,SKCM,
TCGA-D9-A6E9-06,0.599913578,0.422892561,0.553261559,1.418595723,1.084321815,0.764362812,3.880923513,SKCM,
TCGA-FR-A69P-06,0.622285807,0.53362636,0.76880069,1.166145178,0.809424101,0.694102343,7.911218948,SKCM,
TCGA-D3-A8GO-06,0.472501601,0.465054511,0.524784989,1.016013371,0.900371792,0.886181047,45.56013131,SKCM,
TCGA-DA-A1HV-06,1.140981627,0.859744643,0.88070411,1.327116878,1.295533442,0.976201466,9.370980453,SKCM,
TCGA-GN-A4U7-06,0.413097818,0.511665124,0.501560437,0.807359735,0.823625206,1.020146499,17.06064162,SKCM,
TCGA-D3-A3C8-06,0.784480931,0.698890545,0.738255913,1.122466081,1.062613813,0.946677883,135.899845,SKCM,
TCGA-D3-A2JB-06,0.670355138,0.681663327,0.696973409,0.983410887,0.961808771,0.978033478,71.13067751,SKCM,
TCGA-W3-A825-06,1.215086953,1.136349076,1,1.06929022,1.215086953,1.136349076,420.9193433,SKCM,
