sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-KN-8431-01,0.177156166,0.065286919,2.070960447,KICH,
TCGA-04-1542-01,0.094346209,0.039977008,1.000970877,OV,
TCGA-25-1633-01,0.262396792,0.053826406,2.251052961,OV,
TCGA-25-1314-01,0.138069427,0.041780306,2.990942137,OV,
TCGA-AJ-A3BG-01,0.477806832,0.080874113,1.200969906,UCEC,
TCGA-29-1777-01,0.164621723,0.044126329,1.80100227,OV,
TCGA-V4-A9EZ-01,0.442486,0.057546004,1.531027292,UVM,
TCGA-20-0991-01,0.258385809,0.061636452,2.891062905,OV,
TCGA-61-1917-01,0.222092712,0.04346983,0.710989422,OV,
TCGA-66-2778-01,0.330216007,0.055316244,1.161025774,LUSC,
TCGA-29-1702-01,0.054162417,0.057118622,0.39098902,OV,
TCGA-77-7140-01,0.421348876,0.063098638,0.921017197,LUSC,
TCGA-A2-A0YJ-01,0.264883439,0.054763801,2.610995552,BRCA,
TCGA-KO-8417-01,0.13589547,0.071373051,2.000970642,KICH,
TCGA-CR-7379-01,0.358358868,0.065060116,2.921076214,HNSC,
TCGA-09-0367-01,0.101198098,0.071698635,0.590987696,OV,
TCGA-24-1469-01,0.078838791,0.04380121,2.141022564,OV,
TCGA-30-1853-01,0.024314179,0.039353587,0.201004541,OV,
TCGA-04-1350-01,0.036315245,0.033912895,0.60098463,OV,
TCGA-A3-3374-01,0.213369267,0.054529617,1.650954088,KIRC,
TCGA-KL-8330-01,0.089567324,0.069080143,0.891001645,KICH,
TCGA-EK-A2GZ-01,0.341395453,0.086608065,2.251052961,CESC,
TCGA-EB-A5SF-01,0.296976693,0.056686264,0.660989839,SKCM,
TCGA-CR-7399-01,0.35404427,0.062362971,2.910970058,HNSC,
TCGA-BQ-5891-01,0.117466949,0.064606238,1.520978753,KIRP,
TCGA-KN-8418-01,0.119322278,0.065009508,1.161025774,KICH,
TCGA-61-1738-01,0.082565008,0.040361198,1.081025084,OV,
TCGA-14-0871-01,0.030487694,0.039546057,2.740995577,GBM,
TCGA-YZ-A983-01,0.098749946,0.052635753,0.641001661,UVM,
TCGA-EB-A3Y7-01,0.355977154,0.072545583,0.710989422,SKCM,
TCGA-13-1507-01,0.193503877,0.079299875,2.211001494,OV,
TCGA-KM-8438-01,0.194707827,0.063707963,2.060936422,KICH,
TCGA-25-2391-01,0.163529594,0.047230875,2.560987125,OV,
TCGA-36-1571-01,0.106984059,0.041250923,2.40094108,OV,
TCGA-29-1761-01,0.166063709,0.065921357,0.850981692,OV,
TCGA-FR-A3YO-06,0.416011823,0.081933524,1.330990247,SKCM,
TCGA-WC-AA9A-01,0.049799527,0.050275639,0.561010625,UVM,
TCGA-29-1701-01,0.232391513,0.05613808,2.40094108,OV,
TCGA-24-1553-01,0.209663669,0.04927742,1.561031879,OV,
