sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-D7-A4YV-01,0.505121149,0.132914714,29.02049053,STAD,
TCGA-AB-2903-03,0.459310024,0.058134106,356.4114809,LAML,
TCGA-BQ-5884-01,0.362852463,0.08561438,3.841048019,KIRP,
TCGA-BP-4162-01,0.410793266,0.084869609,115.8408272,KIRC,
TCGA-F5-6861-01,0.463735196,0.083544594,99.29161605,READ,
TCGA-EW-A1IZ-01,0.391864159,0.096095099,82.25890715,BRCA,
TCGA-A8-A091-01,0.363127727,0.069323021,99.09222777,BRCA,
TCGA-EK-A2H1-01,0.445134699,0.092486425,100.8383076,CESC,
TCGA-EA-A3Y4-01,0.425715091,0.064847374,365.8732171,CESC,
TCGA-AB-2970-03,0.476699596,0.06328023,320.9266974,LAML,
TCGA-EA-A5FO-01,0.415675839,0.066227649,199.4799588,CESC,
TCGA-D8-A3Z6-01,0.468794012,0.069910725,181.7863419,BRCA,
TCGA-SP-A6QK-01,0.360371045,0.055125453,452.7277722,PCPG,
TCGA-W5-AA2U-01,0.47531203,0.078040494,141.4550625,CHOL,
TCGA-24-1419-01,0.256100143,0.07539395,39.17061841,OV,
TCGA-GI-A2C8-01,0.379713115,0.099418069,38.81116946,BRCA,
TCGA-BB-8596-01,0.376873992,0.070129898,73.88963004,HNSC,
TCGA-AB-2943-03,0.423299896,0.061454223,241.8384789,LAML,
TCGA-AB-2897-03,0.541804871,0.062587128,297.9651928,LAML,
TCGA-B0-5400-01,0.418280767,0.071424137,72.53975663,KIRC,
TCGA-51-6867-01,0.215172245,0.063822858,4.510852149,LUSC,
TCGA-C5-A8YT-01,0.405444274,0.061323026,235.5517108,CESC,
TCGA-22-4601-01,0.39702308,0.0600396,109.7213144,LUSC,
TCGA-A7-A0DB-01,0.436066162,0.065892897,119.7671635,BRCA,
TCGA-B8-4148-01,0.41046259,0.083450302,276.6657029,KIRC,
TCGA-CV-7102-01,0.462614731,0.072787368,26.17105177,HNSC,
TCGA-VQ-A8PQ-01,0.332142214,0.068540383,99.64323807,STAD,
TCGA-EW-A2FW-01,0.422117629,0.07151689,99.96838433,BRCA,
TCGA-97-A4M3-01,0.466489992,0.107348813,270.4653559,LUAD,
TCGA-HW-A5KL-01,0.424698247,0.077461655,252.423077,LGG,
TCGA-A2-A4RY-01,0.367812935,0.088254021,158.4957121,BRCA,
