sample,chrX_non_escaping_promoter_CpG_islands_median_beta,autosome_median_beta,XIST_TPM,Classification,Secondary_Class
TCGA-BR-6563-01,0.038352662,0.08732396,0.000999989,STAD,
TCGA-CH-5791-01,0.034519208,0.064100448,0.141003219,PRAD,
TCGA-KL-8340-01,0.045908358,0.066625935,0.061001985,KICH,
TCGA-UF-A719-01,0.036628105,0.061099141,0.010999639,HNSC,
TCGA-E5-A4TZ-01,0.036380563,0.052955657,0.041000917,BLCA,
TCGA-H7-8501-01,0.041495698,0.075852531,0.000999989,HNSC,
TCGA-DU-6394-01,0.036527573,0.07741848,0.160996363,LGG,
TCGA-HT-8111-01,0.036819007,0.068274665,0.220997201,LGG,
TCGA-P5-A5ET-01,0.041926609,0.076198509,0.050998549,LGG,
TCGA-JY-A6FA-01,0.041123882,0.068551335,0.000999989,ESCA,
TCGA-AZ-6600-01,0.03911196,0.074933305,0.130996484,COAD,
TCGA-D9-A3Z4-01,0.043023336,0.069016585,0.000999989,SKCM,
TCGA-KO-8409-01,0.042748171,0.063266104,0.000999989,KICH,
TCGA-55-8505-01,0.066923325,0.107280591,0.260996072,LUAD,
TCGA-G3-A7M5-01,0.039680864,0.058710121,0.330999284,LIHC,
TCGA-EE-A29N-06,0.041153653,0.09461127,0.000999989,SKCM,
TCGA-IE-A4EK-01,0.031350206,0.045090044,0.071001829,SARC,
TCGA-WB-A81T-01,0.039252036,0.05472294,0.610981245,PCPG,
TCGA-S8-A6BW-01,0.033525127,0.05195654,0.150997859,ESCA,
TCGA-VQ-A925-01,0.036562439,0.061281636,0.050998549,STAD,
TCGA-G2-A2EK-01,0.028183905,0.056596362,0.071001829,BLCA,
TCGA-5U-AB0E-01,0.035839988,0.060024741,0.150997859,THYM,
TCGA-CN-5356-01,0.049110175,0.088029145,0.010999639,HNSC,
TCGA-HC-7747-01,0.032537841,0.060949669,0.000999989,PRAD,
TCGA-CN-6024-01,0.044157804,0.081852996,0.000999989,HNSC,
TCGA-MN-A4N1-01,0.066013751,0.097077012,0.071001829,LUAD,
TCGA-A3-3363-01,0.019115541,0.048886258,0.950988632,KIRC,
TCGA-BR-4191-01,0.021773333,0.077934269,0.311002913,STAD,
TCGA-EV-5903-01,0.037747818,0.060670167,0.010999639,KIRP,
TCGA-WE-A8K5-06,0.040407518,0.073810476,0.000999989,SKCM,
TCGA-V5-AASX-01,0.041426728,0.093151651,0.000999989,ESCA,
TCGA-CV-5979-01,0.044739927,0.066222171,0.000999989,HNSC,
TCGA-CN-5358-01,0.041069988,0.077817565,0.000999989,HNSC,
TCGA-05-4418-01,0.021543328,0.066930394,0.000999989,LUAD,
TCGA-DJ-A2PW-01,0.039242406,0.066190344,0.030999742,THCA,
TCGA-BT-A20T-01,0.044637897,0.076838331,0.000999989,BLCA,
TCGA-P4-A5E8-01,0.039413654,0.08827761,0.300992616,KIRP,
TCGA-CC-A7IL-01,0.038566976,0.04922076,0.050998549,LIHC,
TCGA-B8-4619-01,0.01927748,0.064946199,0.061001985,KIRC,
TCGA-4V-A9QJ-01,0.041207835,0.06990683,0.141003219,THYM,
TCGA-B0-4828-01,0.038136842,0.069344157,0.880991497,KIRC,
TCGA-OR-A5K1-01,0.03578226,0.04736185,0.141003219,ACC,
TCGA-IG-A6QS-01,0.038880993,0.066847424,0.000999989,ESCA,
TCGA-CN-A63V-01,0.038000867,0.067791702,0.000999989,HNSC,
TCGA-HC-7230-01,0.036610512,0.061846293,0.000999989,PRAD,
TCGA-85-8351-01,0.042435344,0.06960562,0.050998549,LUSC,
TCGA-EE-A184-06,0.042448871,0.069935102,0.000999989,SKCM,
TCGA-50-5939-01,0.069941507,0.103197923,0.150997859,LUAD,
TCGA-DD-AAC9-01,0.043867089,0.090085647,0.000999989,LIHC,
TCGA-IB-AAUQ-01,0.049328357,0.072107574,0.201004541,PAAD,
TCGA-FD-A43P-01,0.039830305,0.067989134,1.151009707,BLCA,
TCGA-56-A4BY-01,0.051081526,0.082497209,0.061001985,LUSC,
TCGA-BR-7958-01,0.044500053,0.154017343,0.061001985,STAD,
TCGA-EJ-7218-01,0.043315396,0.067635598,0.020999518,PRAD,
TCGA-A6-6140-01,0.037044958,0.060773738,0.000999989,COAD,
TCGA-CV-7250-01,0.03808773,0.06434009,0.000999989,HNSC,
