sample,chrX_non_escaping_promoter_CpG_islands_mean_beta,autosome_mean_beta,XIST_TPM,Classification,Secondary_Class
TCGA-VF-A8AB-01,0.036912225,0.059549273,95.16109714,TGCT,TGCT-S
TCGA-YU-A90Q-01,0.032396803,0.046516751,254.5137872,TGCT,TGCT-S
TCGA-L5-A4OQ-01,0.036507469,0.060432504,183.0507659,ESCA,
TCGA-DD-A4NV-01,0.038182645,0.071633825,6.750994296,LIHC,
TCGA-2G-AAF6-01,0.030809502,0.048089329,94.07894651,TGCT,TGCT-S
TCGA-SN-A6IS-01,0.032616583,0.050603659,194.2270058,TGCT,TGCT-NS
TCGA-XF-AAMG-01,0.045349581,0.065935653,5.170844786,BLCA,
TCGA-2G-AAKM-01,0.033546047,0.062561855,45.97252494,TGCT,TGCT-NS
TCGA-2G-AAG3-01,0.258790922,0.063396972,63.99112833,TGCT,TGCT-NS
TCGA-LN-A49K-01,0.043992419,0.074779667,15.50111406,ESCA,
TCGA-2G-AAHL-01,0.033899899,0.05049862,137.4249363,TGCT,TGCT-S
TCGA-2G-AAGA-01,0.047810429,0.071633991,95.3525754,TGCT,TGCT-NS
TCGA-ER-A19B-06,0.039320477,0.058392947,73.82307872,SKCM,
TCGA-XY-A8S2-01,0.039791492,0.07066532,61.84992754,TGCT,TGCT-NS
TCGA-G3-A7M9-01,0.032171295,0.052587851,136.9399898,LIHC,
TCGA-2G-AAHG-01,0.036175087,0.052369687,277.4338475,TGCT,TGCT-S
TCGA-B0-5084-01,0.023091213,0.07050738,8.761027013,KIRC,
TCGA-2G-AAFO-01,0.045321003,0.073471908,131.5712075,TGCT,TGCT-NS
TCGA-2G-AAGN-01,0.036610003,0.065744211,41.00989089,TGCT,TGCT-NS
TCGA-XE-AAO6-01,0.034685612,0.052593328,515.4897746,TGCT,TGCT-S
TCGA-YU-A90Y-01,0.036389878,0.07701474,7.021114229,TGCT,TGCT-NS
TCGA-BF-A3DM-01,0.03548732,0.053601489,18.1311685,SKCM,
TCGA-2G-AAG7-01,0.109674423,0.077349354,244.6032903,TGCT,TGCT-NS
TCGA-2J-AAB8-01,0.037952978,0.069015353,8.701113274,PAAD,
TCGA-05-4382-01,0.020898736,0.063890061,19.07088646,LUAD,
TCGA-L5-A4OF-01,0.034473967,0.06415042,163.3021528,ESCA,
TCGA-55-6969-01,0.091993701,0.144357268,23.21040835,LUAD,
TCGA-56-8629-01,0.037822847,0.0643015,28.14096702,LUSC,
TCGA-IN-A6RI-01,0.039971427,0.06113718,5.09082686,STAD,
TCGA-37-4130-01,0.02098386,0.064257962,69.62338246,LUSC,
TCGA-2G-AAGF-01,0.066219731,0.069268137,54.54216263,TGCT,TGCT-NS
TCGA-VQ-A94O-01,0.039519288,0.063911458,5.340963408,STAD,
TCGA-YU-A90P-01,0.038292467,0.081358514,3.861068099,TGCT,TGCT-NS
TCGA-4Z-AA80-01,0.159168087,0.060943313,11.08087574,BLCA,
TCGA-ER-A19H-06,0.045459558,0.067972754,48.31167608,SKCM,
TCGA-2G-AAFI-01,0.045606381,0.083892704,17.56096232,TGCT,TGCT-NS
TCGA-X3-A8G4-01,0.060856438,0.077509661,176.4236304,TGCT,TGCT-NS
TCGA-VF-A8AC-01,0.037561759,0.057261796,149.7279763,TGCT,TGCT-S
TCGA-EE-A2GE-06,0.03920628,0.073961679,6.701109585,SKCM,
TCGA-WZ-A8D5-01,0.035345986,0.054981603,178.0328924,TGCT,TGCT-S
TCGA-SO-A8JP-01,0.031894953,0.046647438,323.4726667,TGCT,TGCT-S
TCGA-4K-AA1I-01,0.03147024,0.054161541,52.53110402,TGCT,TGCT-S
TCGA-ZM-AA0D-01,0.036962111,0.063112066,226.1286532,TGCT,TGCT-S
TCGA-2G-AAG9-01,0.036114509,0.055671951,161.6130626,TGCT,TGCT-S
TCGA-XE-AAOL-01,0.029696646,0.044993297,920.5166458,TGCT,TGCT-S
TCGA-YU-A90S-01,0.031999286,0.055219131,73.73102969,TGCT,TGCT-S
TCGA-2G-AAFM-01,0.039975589,0.074205548,23.04049809,TGCT,TGCT-NS
TCGA-XE-A8H1-01,0.039637987,0.069386412,47.91149746,TGCT,TGCT-NS
TCGA-YU-A94D-01,0.351312089,0.047784633,444.3953775,TGCT,TGCT-NS
TCGA-W4-A7U2-01,0.032333557,0.051498573,265.7452326,TGCT,
TCGA-WZ-A7V3-01,0.034893214,0.054948431,219.8536997,TGCT,TGCT-S
TCGA-2G-AAFH-01,0.032756651,0.054106229,162.0954742,TGCT,TGCT-S
TCGA-GV-A3JZ-01,0.032872246,0.054998431,3.751064317,BLCA,
TCGA-2G-AAHN-01,0.033827341,0.053745779,80.44327987,TGCT,TGCT-S
TCGA-YU-AA61-01,0.038756563,0.079477944,5.450920956,TGCT,TGCT-NS
TCGA-2G-AAGE-01,0.133838981,0.06996383,80.92984908,TGCT,TGCT-NS
TCGA-FR-A726-01,0.034278392,0.056607482,4.581118876,SKCM,
TCGA-XE-AAOB-01,0.036846584,0.065101914,12.08126819,TGCT,TGCT-NS
TCGA-XE-AAO4-01,0.03493413,0.054126626,209.5571593,TGCT,TGCT-S
TCGA-2G-AAGK-01,0.099868969,0.080482926,178.3663924,TGCT,TGCT-NS
TCGA-XE-A8H5-01,0.032315899,0.047881525,160.5968739,TGCT,TGCT-S
TCGA-44-8119-01,0.062021072,0.08416966,26.62113173,LUAD,
TCGA-EI-6513-01,0.035773432,0.0540074,9.591124685,READ,
TCGA-D3-A3MR-06,0.035926204,0.065077857,146.1493903,SKCM,
TCGA-2G-AAGT-01,0.115979014,0.05542664,67.2004971,TGCT,TGCT-NS
TCGA-DD-AACG-01,0.045031876,0.068667874,88.6592959,LIHC,
TCGA-2G-AAFL-01,0.039310716,0.068436459,23.16058839,TGCT,TGCT-NS
TCGA-2G-AAF8-01,0.037576846,0.056403631,185.6446591,TGCT,TGCT-S
TCGA-RC-A6M6-01,0.037316702,0.063431905,4.510852149,LIHC,
TCGA-ZM-AA0H-01,0.032690757,0.053837208,205.1876373,TGCT,TGCT-S
TCGA-2G-AAG6-01,0.310257327,0.071092789,78.79870417,TGCT,TGCT-NS
TCGA-55-8094-01,0.064245565,0.092131342,66.94943615,LUAD,
TCGA-62-A470-01,0.081861561,0.105781908,196.2025525,LUAD,
TCGA-2G-AAHP-09,0.035290474,0.050039031,182.9465599,TGCT,TGCT-S
TCGA-44-7669-01,0.074611357,0.102270277,15.42073901,LUAD,
TCGA-S9-A6TW-01,0.045619106,0.080651229,8.761027013,LGG,
TCGA-SN-A84X-01,0.150077947,0.058009037,112.9703214,TGCT,TGCT-NS
TCGA-B0-5697-01,0.040335497,0.063714831,23.62103049,KIRC,
TCGA-DJ-A2Q5-01,0.045744142,0.076256015,5.870974539,THCA,
TCGA-XE-A8H4-01,0.032452823,0.056033096,146.819522,TGCT,TGCT-S
TCGA-YU-A912-01,0.033969631,0.050945571,280.9364484,TGCT,TGCT-S
TCGA-66-2754-01,0.218281823,0.062456437,30.29063673,LUSC,
TCGA-2G-AAKD-01,0.036057578,0.060967759,3.471117013,TGCT,TGCT-NS
TCGA-CC-A8HT-01,0.038906165,0.06310988,3.331103084,LIHC,
TCGA-VF-A8AE-01,0.034521573,0.057370578,329.2409558,TGCT,TGCT-S
TCGA-SN-A84W-01,0.384971908,0.062954492,274.6975056,TGCT,TGCT-NS
TCGA-BA-A4IF-01,0.052082185,0.077914515,9.421129271,HNSC,
TCGA-XE-AAOF-01,0.031614462,0.053653451,288.9948553,TGCT,TGCT-S
TCGA-EE-A2GB-06,0.038822196,0.058651136,138.4191749,SKCM,
TCGA-B0-4846-01,0.404573787,0.075206338,107.069221,KIRC,
TCGA-W4-A7U4-01,0.045284265,0.073954819,79.63330337,TGCT,TGCT-NS
TCGA-S6-A8JX-01,0.029607443,0.041663874,281.5017342,TGCT,TGCT-S
TCGA-BP-5000-01,0.022415864,0.073004827,29.86119508,KIRC,
TCGA-XY-A9T9-01,0.03650591,0.056335144,130.3006075,TGCT,TGCT-S
TCGA-YU-A94I-01,0.054304736,0.058174669,141.0243034,TGCT,TGCT-NS
TCGA-2J-AABK-01,0.040304115,0.073636845,21.14141449,PAAD,
TCGA-D3-A1Q9-06,0.038490605,0.059702376,14.82129908,SKCM,
TCGA-2G-AAGX-01,0.194134256,0.064630071,89.46800861,TGCT,TGCT-NS
TCGA-55-8507-01,0.06754969,0.092181124,42.11026356,LUAD,
TCGA-SN-A84Y-01,0.040730479,0.076608748,7.551168968,TGCT,TGCT-NS
TCGA-YU-AA4L-01,0.031245529,0.045471577,23.02134151,TGCT,TGCT-NS
TCGA-77-8143-01,0.04583611,0.065089948,45.27052084,LUSC,
TCGA-2G-AAG8-01,0.043558242,0.068751089,105.0476443,TGCT,TGCT-NS
TCGA-L5-A8NN-01,0.036454931,0.064750539,256.3196016,ESCA,
TCGA-CH-5737-01,0.03491211,0.061427416,10.32092234,PRAD,
TCGA-FD-A3B8-01,0.040357289,0.071382499,8.430978031,BLCA,
TCGA-2G-AALP-01,0.05786503,0.07105351,149.6138579,TGCT,TGCT-NS
TCGA-2X-A9D6-01,0.035285732,0.057653398,160.8865597,TGCT,TGCT-S
TCGA-AB-2872-03,0.036414553,0.063773672,3.770876757,LAML,
TCGA-NJ-A55R-01,0.118535708,0.136562597,71.51133345,LUAD,
TCGA-KO-8404-01,0.044839088,0.072385285,13.72086946,KICH,
TCGA-DD-AADD-01,0.034407604,0.051118768,10.65087462,LIHC,
TCGA-CZ-4862-01,0.020516938,0.062048111,10.41073484,KIRC,
TCGA-60-2703-01,0.038174473,0.061563823,5.321009576,LUSC,
TCGA-ET-A3BU-01,0.040220537,0.064037317,4.171019335,THCA,
TCGA-ZM-AA05-01,0.029257469,0.050009209,508.2871682,TGCT,TGCT-S
TCGA-2G-AAGI-09,0.046078492,0.069090963,239.683475,TGCT,TGCT-NS
TCGA-85-8287-01,0.047609781,0.080188854,32.05994399,LUSC,
TCGA-4K-AA1G-01,0.03408059,0.049419247,113.2211757,TGCT,TGCT-S
TCGA-56-7822-01,0.388128029,0.070801151,33.84099307,LUSC,
TCGA-D3-A2JH-06,0.042595022,0.0758409,23.01176919,SKCM,
TCGA-B0-4696-01,0.034204045,0.056577825,5.971113533,KIRC,
TCGA-SB-A6J6-01,0.032512935,0.052319211,221.168176,TGCT,TGCT-S
TCGA-2G-AAHA-01,0.03876338,0.057155059,60.27133018,TGCT,TGCT-S
TCGA-XE-A9SE-01,0.039133765,0.059928919,141.2591,TGCT,TGCT-S
TCGA-D7-8572-01,0.040687167,0.068357215,66.56075994,STAD,
TCGA-HU-A4HD-01,0.040180473,0.058435771,70.4291126,STAD,
TCGA-2G-AAGY-09,0.037302824,0.062555639,148.1675506,TGCT,TGCT-NS
TCGA-ED-A7PZ-01,0.04320881,0.051873761,3.880923513,LIHC,
TCGA-TT-A6YK-01,0.035493218,0.055625768,3.461026529,PCPG,
TCGA-2G-AAH3-01,0.031535757,0.046469455,166.5948508,TGCT,TGCT-S
TCGA-XY-A8S3-01,0.043791446,0.08737746,109.5921004,TGCT,TGCT-NS
TCGA-2G-AAGP-01,0.068110692,0.067642899,134.5221564,TGCT,TGCT-NS
TCGA-2G-AAEW-01,0.03439566,0.049272412,124.1637306,TGCT,TGCT-S
TCGA-RG-A7D4-01,0.034386546,0.068920769,3.40109664,LIHC,
TCGA-2G-AAH0-01,0.031470172,0.051377794,143.2012226,TGCT,TGCT-S
TCGA-EB-A4IS-01,0.034909947,0.060648041,52.48015224,SKCM,
TCGA-DJ-A2Q4-01,0.042903199,0.069593344,6.100806613,THCA,
TCGA-2G-AAF4-01,0.042610612,0.060723884,153.8414014,TGCT,TGCT-S
TCGA-XE-AANV-01,0.033271942,0.053792117,174.9137629,TGCT,TGCT-S
TCGA-2G-AAHC-01,0.034637138,0.056521785,131.1069178,TGCT,TGCT-S
TCGA-YU-A90W-01,0.030346556,0.051636613,370.4666848,TGCT,TGCT-S
TCGA-2G-AAH8-01,0.031881418,0.045853581,181.4464474,TGCT,TGCT-S
TCGA-S6-A8JW-01,0.035191758,0.055647829,221.6746519,TGCT,TGCT-S
TCGA-FD-A6TB-01,0.04117369,0.076780624,98.61259383,BLCA,
TCGA-ZM-AA06-01,0.033259266,0.053415738,382.416245,TGCT,TGCT-S
TCGA-2G-AAGZ-01,0.044601,0.072635101,11.21066536,TGCT,TGCT-NS
TCGA-5C-AAPD-01,0.046802614,0.078731899,7.201013642,LIHC,
TCGA-55-A490-01,0.083936899,0.113442798,26.82116503,LUAD,
TCGA-MX-A666-01,0.038050013,0.065183524,93.68849566,STAD,
TCGA-XE-AAOD-01,0.031600965,0.058099519,100.3641346,TGCT,TGCT-NS
TCGA-X6-A7WC-01,0.042601459,0.06943678,9.321098579,SARC,
TCGA-2G-AAHT-01,0.032977058,0.050471231,115.0805332,TGCT,TGCT-S
TCGA-2G-AAKG-09,0.045814195,0.074514296,158.6129573,TGCT,TGCT-NS
TCGA-2G-AAFY-01,0.039266021,0.076108971,21.91125175,TGCT,TGCT-NS
TCGA-XE-AANJ-01,0.03228372,0.051890774,207.5765988,TGCT,TGCT-S
TCGA-XE-AAO3-01,0.032540575,0.046755411,401.7070581,TGCT,TGCT-S
TCGA-BC-4073-01,0.036625503,0.064901162,32.37032623,LIHC,
TCGA-VF-A8A9-01,0.033863209,0.05521259,262.9783094,TGCT,
TCGA-2G-AAF1-01,0.033338733,0.053232271,112.7825455,TGCT,TGCT-S
TCGA-2G-AAH2-01,0.042007599,0.060516706,145.7548419,TGCT,TGCT-NS
TCGA-2G-AAEX-01,0.033038673,0.051092373,187.2990796,TGCT,TGCT-S
TCGA-FB-AAPZ-01,0.03827047,0.066145673,36.69979247,PAAD,
TCGA-2X-A9D5-01,0.036899604,0.05568073,283.5579903,TGCT,TGCT-S
TCGA-2H-A9GJ-01,0.044614292,0.06009448,54.39114909,ESCA,
TCGA-ZM-AA0E-01,0.034974291,0.057589686,557.4505412,TGCT,TGCT-S
TCGA-CR-7394-01,0.344037181,0.091398765,3.461026529,HNSC,
TCGA-WZ-A7V4-01,0.03575192,0.061537637,153.8520653,TGCT,
TCGA-HU-A4GH-01,0.04070226,0.062404188,65.93168284,STAD,
TCGA-IG-A625-01,0.034734883,0.054453688,3.841048019,ESCA,
TCGA-EB-A299-01,0.042646824,0.068941068,15.68050372,SKCM,
TCGA-DX-A2J0-01,0.374900538,0.061511293,131.0978304,SARC,
TCGA-4K-AA1H-01,0.031355416,0.053398312,128.5601761,TGCT,TGCT-S
TCGA-2G-AAGG-01,0.038178086,0.06455267,13.30134288,TGCT,TGCT-NS
TCGA-2G-AAGV-01,0.049477865,0.058900148,113.8113003,TGCT,TGCT-NS
TCGA-WZ-A7V5-01,0.033725685,0.054480694,192.204726,TGCT,TGCT-S
TCGA-2G-AAKH-01,0.044396662,0.070140558,46.62074003,TGCT,TGCT-NS
TCGA-93-A4JQ-01,0.063517764,0.097637326,15.67072476,LUAD,
TCGA-4K-AAAL-01,0.032407188,0.053946515,271.1786897,TGCT,TGCT-S
TCGA-SB-A76C-01,0.033805505,0.053299008,242.3586896,TGCT,TGCT-S
TCGA-2G-AAFG-09,0.041292905,0.063995908,130.5526423,TGCT,TGCT-S
TCGA-FS-A1ZQ-06,0.0418185,0.068778117,11.17110505,SKCM,
TCGA-2Y-A9HA-01,0.03415253,0.056296111,7.940886087,LIHC,
TCGA-CV-7428-01,0.329907253,0.082118052,5.06092116,HNSC,
TCGA-2G-AAFZ-01,0.353181189,0.071861991,101.3919989,TGCT,TGCT-NS
TCGA-GN-A4U8-06,0.038409406,0.065985675,10.24110867,SKCM,
TCGA-ZM-AA0B-01,0.034723481,0.052971628,721.2222025,TGCT,TGCT-S
TCGA-B0-5696-01,0.040503629,0.072712515,3.200949686,KIRC,
TCGA-R6-A8WG-01,0.043820299,0.073973917,132.2386416,ESCA,
TCGA-ZM-AA0F-01,0.035192348,0.060948593,379.1171735,TGCT,TGCT-S
TCGA-BT-A2LA-01,0.029053135,0.044122072,62.18091754,BLCA,
TCGA-S6-A8JY-01,0.034478341,0.0526243,306.4483231,TGCT,TGCT-S
TCGA-XE-AANR-01,0.032052803,0.051104677,120.9611542,TGCT,TGCT-S
TCGA-2G-AAGJ-01,0.035160432,0.059150187,11.4811878,TGCT,TGCT-NS
TCGA-18-3410-01,0.024121967,0.072020189,38.9297183,LUSC,
TCGA-2G-AAGC-01,0.045085106,0.075137946,81.36858515,TGCT,TGCT-NS
TCGA-2G-AAFJ-01,0.239955293,0.070039524,106.9579567,TGCT,TGCT-NS
TCGA-XY-A89B-01,0.030121279,0.052560808,107.8812251,TGCT,TGCT-S
