,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000215301.9,114.8731592,71.86955652,60.07583327,58.65768065,53.00206192,64.93055713,30.09306784,150.1305351,69.21454699,73.28362048,68.5744314,77.10816562,45.44944428,68.24210385,69.04683115,78.04645686,55.86927549,89.47822704,70.54261467,52.08190875,28.14498739,71.12034776,40.04065346,62.88275351,66.14208368,46.1578606,72.79821117,85.23062461,48.38997275,61.41162366,50.3918505,58.9714633,50.96942365
ENSG00000007952.17,4.227226224,3.971839444,0.042955984,1.299795516,0.151264825,0.386975718,0.216948755,0.035999797,0.15233536,0.064028393,6.161486452,127.0203057,0.052818308,0.081072634,95.49803697,0.276884592,0.549792305,3.662103626,0.032492514,0.064267601,0.037590989,0.098500363,0.058097579,1.05241555,0.233699876,0.02262135,0.045762642,0.190994103,0.040764192,0.029699526,0.096322704,0.971138329,0.111624065
ENSG00000185753.12,8.382639613,6.769001044,7.344136224,8.501993526,8.404535723,8.400540901,3.659561364,16.41282082,7.344881988,7.475449659,8.644577413,10.57651517,10.47424299,7.264368943,10.11103673,7.549855497,5.078414858,8.528466023,10.22043942,4.564717511,2.685093074,7.422644483,5.102632319,7.95669069,6.111744039,6.526983062,5.738295993,10.1113239,8.827526584,7.393851619,7.670094925,7.780029052,8.97733657
ENSG00000130234.10,7.098950654,10.64194691,0.953481141,7.684122629,0.926187372,5.759417095,3.921234715,0.126107249,2.307331305,0.145242966,5.724556449,24.71730784,0.026454077,0.1323108,17.29370984,2.388068247,0.259036398,3.245600991,30.03058152,0.106854739,0.069636936,0.036000426,58.98024032,1.578650019,0.766405181,0.119108213,2.022241882,1.300981097,52.69816386,0.075688388,0.72648857,0.171703399,6.481062332
ENSG00000169906.5,0.643634955,1.889853204,0.042564555,0.255737838,0.003196978,0.061469564,0.002097063,0.286109083,0.011083438,0.00269012,0.435311758,0.049541973,0.000999989,0.000999989,0.035156188,0.118059364,0.006458857,0.204467689,2.957544428,0.003499956,0.000999989,17.38821301,0.00809693,0.024356142,0.004114702,0.000999989,0.002081785,0.090999347,0.006613108,0.001256406,0.000999989,0.075363778,0.000999989
ENSG00000259849.1,0.001249981,0.001201138,0.001434763,0.000999989,0.001227254,0.003569713,0.001675075,0.001217375,0.005666692,0.001035199,0.005656439,0.000999989,0.000999989,0.001097073,0.002303387,0.002764633,0.001060716,0.021339867,0.002761177,0.000999989,0.000999989,0.000999989,0.000999989,0.00643508,0.013704933,0.000999989,0.002688642,0.081001925,0.00246221,0.017263737,0.000999989,0.000999989,0.000999989
ENSG00000147381.11,0.090917074,0.073126127,1.460417683,0.009421267,0.002060598,9.365441457,1.3435468,0.004695574,83.31324728,0.015137339,8.370581129,1.15610577,13.04557653,0.116629491,0.52295307,2.023967579,0.322518444,22.35367991,0.165849331,0.002973634,0.002590871,0.034332578,0.002290292,18.07409269,29.13919481,0.001540511,38.40694429,0.280991813,0.011282956,32.63929029,1.53193942,0.028746663,0.011000297
ENSG00000005889.15,10.73724078,6.663160296,7.3527024,4.517103364,4.952537762,5.187014599,3.188769142,19.27403916,7.526921361,6.579414047,8.794733785,4.966310574,3.589170395,6.338311323,4.443203744,6.72802222,10.32874207,11.50299895,6.008139901,3.533750824,2.513727984,11.15272925,3.1513186,4.281830558,5.314705618,4.575613461,5.546279994,8.22092083,3.588077947,6.160269621,5.340023211,5.271858694,5.157246539
ENSG00000130985.16,122.3625799,113.7151766,152.2345478,116.182062,155.4622193,115.1547359,67.33530712,135.6354185,129.8315895,144.4823256,145.6693457,147.1666828,153.3920545,145.2480865,139.4147684,186.3951263,135.8951382,190.3781908,87.15981236,115.8348424,104.3998717,143.0488123,135.2476635,133.3821063,121.5537438,142.3837561,133.5406335,165.2149008,100.4774669,152.5883862,127.869692,137.1374044,115.0771713
ENSG00000072501.17,20.78317741,16.36596346,22.65131723,13.32580056,9.683642016,20.48296919,9.645843782,51.3482707,28.96299615,20.04908366,32.97317217,37.4030438,21.46971316,15.88483189,32.77978311,31.03645996,13.90610088,38.24740652,15.20186828,10.488542,8.908938012,31.60604774,7.610645736,16.48070486,30.62158292,12.7999497,28.12847451,54.01918617,9.836456095,28.00516107,14.84186691,14.19113416,13.17100858
ENSG00000169239.12,5.311049949,3.698651612,5.576891608,2.964613568,3.089445608,2.511568313,1.406559046,26.42959905,2.898476013,3.982012597,4.589287537,2.127463316,0.902356088,5.215997766,1.904625173,2.198026901,5.676889771,4.218006682,3.543430945,2.239843506,2.290758713,3.099339036,3.025489733,1.959724919,1.849526417,4.987210535,2.384405382,3.381117141,1.703923568,7.037896411,1.708745588,2.164381956,1.964759314
ENSG00000176774.5,0.001361092,0.001517237,0.004391273,0.001631573,0.000999989,0.003393533,0.001970435,0.001326073,0.005694409,0.001035199,0.011419849,0.000999989,0.003272651,0.001582497,0.002730763,0.003941076,0.001870437,0.010285708,0.008631872,0.002052593,0.000999989,0.017667056,0.088096166,0.002830456,0.164688873,0.007486431,0.003955084,0.000999989,0.005858334,0.025248947,0.0050323,0.006774643,0.000999989
ENSG00000126012.11,28.08608307,18.6636335,28.57150543,23.42866868,20.97897468,25.81903774,10.42202277,51.18258327,30.41586086,28.40874387,26.47926695,31.23112516,18.32040631,22.49464001,30.73520576,40.41700492,23.91692315,36.67058643,19.16028749,24.95150899,17.77337502,26.55351403,18.8178108,26.08347448,36.40666682,17.78766826,26.68042641,60.48057708,17.82107698,31.2672849,26.37461545,23.83434574,23.91107311
ENSG00000102032.12,13.60606651,17.89156901,24.54325812,11.76358227,13.68179827,16.12645578,9.937511998,15.40196715,12.44293426,19.93016997,8.883149406,6.777465131,39.55391942,21.48739636,7.111365506,45.99564335,6.161914616,5.556156052,18.70789297,26.64590235,170.8615276,7.844296915,16.95359092,8.906926935,12.90737473,35.60603453,7.182307164,14.87069325,42.8257645,95.69963855,17.85834835,12.21632494,15.42657733
ENSG00000186312.10,11.14769339,8.779850551,18.95938265,9.862592361,8.982145189,11.43851435,7.239806557,29.27255342,15.75891951,19.64976499,14.89872842,12.021676,8.999233838,18.33194217,10.65641019,20.19913097,11.26047361,16.77752861,10.34048429,7.178333755,14.72870669,9.641785358,11.39391325,13.71623224,16.97051879,9.839938891,12.20781561,26.18012354,12.23778083,21.03114071,15.29838603,11.80414678,13.58360645
ENSG00000101846.6,8.148007822,4.553694602,6.150598171,6.339121678,3.01527456,5.970151099,2.566820218,3.553941014,2.3782243,3.899525331,5.903658388,3.270478389,1.948288611,3.534301259,3.112695587,2.599816268,4.284399064,4.598639748,6.891644372,5.099328848,1.829636825,4.64436521,2.267139364,6.593462719,2.028539972,1.974517771,1.849393509,4.530907381,4.493368171,3.580705418,1.750999079,4.559879057,3.725980469
ENSG00000086712.12,9.505814704,5.366105246,6.401765577,5.455622775,7.031992654,6.599666959,3.921319792,11.80701218,7.486357871,8.518485104,8.487625702,13.00059103,7.453256909,6.938627526,10.99424523,14.73745691,5.808530588,10.64415595,6.038882368,9.431261843,3.447147522,9.075117325,15.05125205,6.459908533,24.54017842,3.295848829,5.725347465,9.661183964,4.136770152,6.218322425,6.099386217,5.423115394,6.292829062
ENSG00000056998.18,32.56660239,3.06182373,4.021878821,3.165428131,1.035168599,4.733135047,6.186427608,1.187843856,2.764310643,14.50059194,4.422863558,7.615361488,0.192818606,19.18241658,6.225533055,17.82892812,4.521805297,3.134399145,0.597591618,4.020157635,57.36784035,3.272631887,0.553578779,2.154641438,10.11496999,0.092621138,1.109416649,29.11115147,1.079065221,44.78027205,0.95809406,6.822834778,3.349736356
ENSG00000165509.13,0.040916621,0.013816088,0.11443506,0.019368601,0.158234441,0.177107995,0.045873609,0.083174941,0.03502781,0.260797457,0.018213634,0.00329165,0.002363588,0.122432834,0.00515597,0.07570628,0.020281387,0.016238232,0.095652642,0.104574347,0.003272705,0.10766506,0.086807255,0.038740133,1.800754711,0.00316211,0.022345481,0.061001985,0.016235843,0.168217387,0.032290211,0.058323986,0.268500789
ENSG00000005302.17,15.14848735,11.73919404,20.62825058,15.32989101,13.92177581,16.46058608,6.550748656,51.49329636,17.50968982,18.17445735,18.15284177,18.39495859,32.15209556,22.15417876,16.84701243,23.0357228,13.04011639,19.67001731,14.89480607,10.99542589,6.619181597,14.47514711,8.164588521,16.95629454,19.39703683,7.897745079,14.73972796,26.59162432,11.41889106,15.23725206,27.83533089,14.48782102,15.16225649
