,XIST_pos_female_normals,XIST_neg_male_normals,SARC,PAAD,THCA,LUAD,LIHC,LAML,LUSC,LGG,STAD,READ,DLBC,GBM,COAD,TGCT-NS,PRAD,ESCA,KIRC,PCPG,UVM,BRCA,ACC,BLCA,TGCT-S,KICH,HNSC,TGCT-U,KIRP,SKCM,THYM,MESO,CHOL
ENSG00000182872.15,21.82072713,20.7937861,36.37536648,24.50660684,31.59031692,22.56799885,17.7990218,28.50946638,27.1316054,39.94672817,24.3215586,30.28669959,34.08275997,33.3756661,30.20197887,46.89730407,33.61413243,27.16523269,18.9266534,30.95263016,29.47175088,29.12360041,22.68381348,29.74705284,25.76510873,20.25307711,26.40432578,59.75965855,20.2614673,34.88697854,45.181868,27.17479294,27.22300456
ENSG00000182220.13,115.0551108,108.503305,144.5698685,93.27846682,161.7985047,104.1454452,52.26776347,81.09099055,115.2396375,122.8635985,82.22334785,107.5607401,59.10155033,154.7726247,90.89673503,88.51437225,76.62192467,85.80160257,131.9124517,141.3101221,48.90016038,133.3318938,93.80957637,95.484671,119.5872012,452.4246338,89.39623861,130.0299365,107.6197926,109.8517932,83.44157246,96.88606323,93.13027996
ENSG00000165195.13,6.762597771,7.572341323,4.976869427,5.545647823,5.0814905,12.03993268,2.988786529,7.498648515,9.626261329,4.747802229,5.428120953,7.95768472,3.020967014,4.879806969,6.003505237,5.215131546,4.853725071,9.265173692,6.166492182,2.340958908,13.2213537,4.415176578,3.246827257,8.036111693,4.087892716,9.535870793,7.732901024,5.14082535,3.546797198,8.042669341,3.222133526,3.737183834,4.926629715
ENSG00000196338.12,1.044333449,1.594652104,2.70861224,1.358104319,0.183803024,0.516295753,0.094523493,4.556982164,0.494556047,72.26085815,0.962374912,0.401834184,0.372363679,54.73737598,0.419408208,4.143908769,2.509590906,0.65559079,0.312860676,0.88137713,0.675997639,0.430998198,11.65204808,0.587598386,0.28813126,0.090459386,0.25209513,1.761006214,0.53770115,3.597142543,0.598904085,1.140582574,0.681003135
ENSG00000147081.14,0.012333328,0.016977041,0.019869279,0.010684142,0.002969674,0.002901585,0.00235019,0.011760595,0.002611079,0.002654906,0.077106891,0.169644717,0.003727272,0.003281472,0.062047058,0.073353383,0.002727377,0.033074733,0.012024731,0.432426616,0.000999989,0.001833293,0.012935386,0.002627079,0.037147339,0.031810495,0.002820547,0.041000917,0.004443321,0.002391918,0.001161274,0.004098542,0.000999989
ENSG00000123560.13,3.941060411,3.818496123,18.05860265,2.975474876,1.372174009,0.080801614,0.037054586,0.687301714,0.336446913,1185.941295,1.724861081,0.298708455,0.093727296,492.620064,0.31894065,12.81740957,2.41787765,0.82634292,0.175163567,7.378047991,36.1536941,0.368504129,1.833240619,0.360459437,14.33146428,0.279377793,0.357268645,2.891062905,0.128689293,206.7477122,2.211172599,0.371284796,0.188503164
ENSG00000123562.16,160.2905392,143.7253348,309.8725594,166.2494571,154.8502044,210.2454805,128.235831,117.5024447,231.8993652,188.4559268,165.2087681,225.8600131,59.55823013,231.854584,212.1597594,243.921913,182.0123681,194.4461497,150.5410451,305.1303042,106.5031853,366.5975179,282.5396744,192.4109571,135.3518311,89.77987857,199.3976978,236.3531038,108.7380996,226.5515379,100.2726316,232.7363641,161.900678
ENSG00000123572.16,1.277774058,2.390549211,2.206212072,0.863839996,1.729416939,1.813243831,0.043394241,0.001543453,0.529609223,0.01328843,0.53378568,0.207875737,0.009636125,0.018354219,0.173799513,7.140982254,0.570042514,0.379946318,0.244550067,2.160368153,0.005318188,0.995985376,6.490307141,0.504977138,10.52826971,2.71126544,0.106778239,9.400907295,0.45515152,0.329219631,0.779549066,2.589716832,0.095375708
ENSG00000213397.10,13.47595113,15.56981193,50.42645841,18.26365539,20.01151507,16.97564904,19.91624173,15.95994491,20.32011639,26.89119362,15.88189022,34.43324637,46.45050355,31.06208263,32.81535744,42.66659547,17.40290336,18.22441687,60.70685178,17.23763499,22.35778158,24.07942361,22.83129983,28.19397846,38.55696507,12.41071952,23.31311115,47.36009271,39.60870017,23.77376448,41.97471708,37.12488587,19.08088259
ENSG00000235961.5,3.000614856,4.085519329,3.167375264,2.513103392,4.098173501,3.069161451,14.63543606,0.617302709,1.835692895,11.65104309,1.200807328,0.576626074,1.973731513,5.339651975,0.413135827,3.281009172,0.76309753,0.704668389,12.99029094,3.810728209,70.45944521,0.698489316,5.056782126,0.651909696,0.488950855,4.007474009,0.911594571,1.940999841,17.17307684,8.541705721,3.114874801,5.356613562,5.454123451
