sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,ratio_ne_e,XIST_TPM,Classification,Secondary_Class
TCGA-A6-5665-01,0.5417301091454285,0.6796012395333507,0.7971293718025123,41.77530153,COAD,
TCGA-AY-A71X-01,0.735881008355832,0.656656889149283,1.1206476632099087,243.8584239,COAD,
TCGA-A6-2672-01,0.40371091792817076,0.4996844598950529,0.8079317055666707,24.18059559,COAD,
TCGA-CA-5796-01,0.7518803593151835,0.7535995466326155,0.997718699108679,12.14087083,COAD,
TCGA-D5-6539-01,0.9657797453576266,0.8592850347737576,1.1239340920349068,32.86089798,COAD,
TCGA-CM-6161-01,0.7836147796522656,0.7722520253129582,1.014713790274234,120.5844445,COAD,
TCGA-CK-4950-01,0.949993099228448,0.823850646612445,1.1531132531541761,17.70150353,COAD,
TCGA-DM-A0XF-01,0.7561046062316992,0.7591869882278849,0.995939890904373,207.9942737,COAD,
TCGA-DM-A1D9-01,0.7395826930378349,0.7438023626785487,0.9943268940078139,200.8256868,COAD,
TCGA-AY-6386-01,0.6992915931684658,0.7271925821839663,0.9616319119596821,28.42128739,COAD,
TCGA-AY-A54L-01,1.1237509797156957,1.0102603643332415,1.1123379867103433,396.8637553,COAD,
TCGA-CK-5913-01,0.7827039934743402,0.9887235326108537,0.7916307922878179,32.9407158,COAD,
TCGA-AA-3509-01,1.2738703365013917,1.146171171987087,1.1114136942503239,66.39027396,COAD,
TCGA-NH-A5IV-01,0.8475873811450333,1.1062792979318758,0.7661603925243364,13.67055585,COAD,
TCGA-D5-5538-01,1.3562790339887238,1.3846432758641372,0.9795151268418131,65.89970034,COAD,
TCGA-A6-6651-01,1.128606380445932,0.8278098018169383,1.3633643597463851,12.72064571,COAD,
TCGA-DM-A0X9-01,0.9867172352058551,0.8815956051300451,1.1192401929684115,194.1866216,COAD,
TCGA-4T-AA8H-01,0.6875826750366586,0.6286337874463371,1.0937730181983794,77.8108805,COAD,
TCGA-AZ-6598-01,0.6053656969570533,0.49317954373779654,1.2274752767906805,5.421154036,COAD,
TCGA-D5-6534-01,1.0133523408738183,0.8313345819707371,1.2189464541118875,78.03232602,COAD,
TCGA-G4-6314-01,1.0358471156671256,0.8342622347253826,1.2416325137959763,19.08146454,COAD,
TCGA-A6-5667-01,1.5652400849425658,1.0726851833459827,1.4591793652450544,3.130948981,COAD,
TCGA-F4-6854-01,1.4384160409507412,1.089229626793282,1.3205810837017649,8.411132137,COAD,
TCGA-G4-6625-01,1.0782329167913067,1.1572048781625734,0.9317562837302764,293.0290732,COAD,
TCGA-CM-6162-01,1.2366910241014148,1.1350893018043602,1.0895098933057923,8.29073496,COAD,
TCGA-CM-6171-01,0.8694502990456632,1.1145100922380111,0.7801188209069947,4.31093258,COAD,
TCGA-AZ-6608-01,0.7508410652921875,0.8321370726040258,0.9023045481468134,201.6346821,COAD,
TCGA-CM-6167-01,1.3091221482322541,0.9143884810966532,1.4316914257955056,118.7431105,COAD,
TCGA-A6-2685-01,1.1967561519023362,1.0208987244662562,1.1722574661144978,54.10912475,COAD,
TCGA-A6-6650-01,0.7417373243623209,0.8385818555253668,0.8845139201081648,71.60094501,COAD,
TCGA-D5-6535-01,1.2035701718905414,1.0589730816373095,1.1365446324940254,98.4486829,COAD,
TCGA-CA-5256-01,0.4598708469482847,0.5185889171695685,0.8867733800757563,26.19101381,COAD,
TCGA-AA-A01X-01,0.962288471897679,0.7450210297822045,1.2916259185045948,8.981148829,COAD,
TCGA-AZ-4614-01,0.6308582000821432,0.5846497157983677,1.0790361870281175,88.41382059,COAD,
TCGA-A6-2677-01,0.29214466228997227,0.3193911162827698,0.9146925114577228,83.36834199,COAD,
TCGA-F4-6570-01,0.9030575503740469,0.768699687569453,1.1747858949044447,80.25948535,COAD,
TCGA-AA-A01P-01,0.7423247487525206,0.7253505940768702,1.023401310778897,72.15862786,COAD,
TCGA-F4-6459-01,1.1595240197856518,1.478264635415363,0.7843818975347729,71.94886383,COAD,
TCGA-G4-6303-01,1.2297735573345672,0.8057282383247399,1.52628826797916,57.36902126,COAD,
TCGA-QG-A5YW-01,0.7471486343354038,0.7642734203881153,0.9775933774538239,136.5703034,COAD,
TCGA-CM-5861-01,0.6635294597570917,0.8372002181818357,0.7925576765831377,2.610995552,COAD,
TCGA-AY-A69D-01,0.9245246941351195,0.8277023225563793,1.1169772863264438,92.46272652,COAD,
TCGA-G4-6307-01,0.6516381821912384,0.8009499388245678,0.8135816617297561,205.1734153,COAD,
TCGA-AY-5543-01,0.65683646798892,0.7689972786332673,0.8541466741680936,6.461190448,COAD,
TCGA-G4-6293-01,0.6977895758801195,0.7948781315833365,0.8778573068681308,83.77221994,COAD,
TCGA-CK-5916-01,0.879697596529722,1.0801597827873035,0.8144143214253933,3.961096916,COAD,
TCGA-D5-6898-01,1.1349015714318071,0.9349649973895783,1.2138439135159622,8.781089798,COAD,
TCGA-CK-4948-01,0.9659236176819602,0.9663855690696337,0.9995219802504727,58.1416456,COAD,
TCGA-CM-6164-01,1.501705657516413,1.4468873646437994,1.0378870492701475,189.2172752,COAD,
TCGA-A6-2684-01,0.8725080742278373,0.7690461073008339,1.1345328530302687,99.93167941,COAD,
TCGA-CK-4952-01,0.6719735853068087,0.6346836012051287,1.058753659352273,53.3715868,COAD,
TCGA-A6-6654-01,1.066762173788679,0.639232056257203,1.6688183318507634,13.69141831,COAD,
TCGA-CK-4947-01,0.8574288826964096,0.8806832624436144,0.9735950701700844,48.43238018,COAD,
TCGA-DM-A1D8-01,0.7532630549157825,0.7542281095798669,0.9987204737508101,318.9972109,COAD,
TCGA-AA-3492-01,0.6487774238426244,0.6416955335149229,1.0110362157095125,18.86055206,COAD,
TCGA-F4-6461-01,0.7710283124553553,0.721767052538151,1.0682509124571054,76.45293595,COAD,
TCGA-NH-A50T-01,0.5782150498970888,0.6000374691699738,0.9636315723698526,54.15039663,COAD,
TCGA-CM-6678-01,1.018565248331851,0.9467833413340531,1.0758166138587257,62.70897355,COAD,
TCGA-G4-6302-01,0.9063719417469771,0.7276799665752444,1.2455639613286722,23.28130462,COAD,
TCGA-F4-6460-01,0.9191866054679496,0.7080688883156692,1.298159855115906,125.6441769,COAD,
TCGA-AA-3662-01,0.8097340445871052,0.7092896702700092,1.1416126281366248,82.07096434,COAD,
TCGA-CM-5349-01,0.7500690293028462,0.7010191797716823,1.069969340278449,89.89070258,COAD,
TCGA-F4-6806-01,1.1525465828766688,1.12302916465093,1.026283750373405,120.0590211,COAD,
TCGA-AA-3660-01,1.0464080791579895,0.7997568658844655,1.3084077471479385,54.46282832,COAD,
TCGA-DM-A1D0-01,0.6089063968666454,0.5786413535874675,1.0523036300318676,183.9920984,COAD,
