sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,ratio_ne_e,XIST_TPM,Classification,Secondary_Class
TCGA-RU-A8FL-01,0.5933539038590433,0.7077835083710715,0.838326828530687,0.000999989,COAD,
TCGA-CK-5914-01,0.9013981081266643,0.824843826261887,1.092810638120084,0.010999639,COAD,
TCGA-AY-6197-01,0.7342678115526219,0.7547512694547882,0.9728606512752698,0.010999639,COAD,
TCGA-AZ-6601-01,1.0668911582512446,0.8236394925315758,1.2953375450368454,0.010999639,COAD,
TCGA-A6-6138-01,0.8430359727777016,0.8156256954342087,1.0336064416520139,0.000999989,COAD,
TCGA-DM-A28F-01,1.1618396233816966,1.21864128179749,0.9533893531556625,0.501006074,COAD,
TCGA-AD-6888-01,0.8777316933218517,0.8870181363335173,0.9895307179963072,0.081001925,COAD,
TCGA-A6-A56B-01,0.9067221563904986,0.6060799625623595,1.4960437770572328,0.010999639,COAD,
TCGA-D5-6927-01,0.828139611095789,0.8812425215850536,0.9397408668004915,0.000999989,COAD,
TCGA-DM-A28M-01,0.58770245327216,0.6722982927099603,0.8741691889521185,0.000999989,COAD,
TCGA-AA-3697-01,0.9045431683061658,0.8184506840478957,1.1051895806751284,0.061001985,COAD,
TCGA-A6-2682-01,1.1155817784733602,1.12779097416588,0.9891742388685546,0.171003766,COAD,
TCGA-G4-6310-01,0.9452980421464529,0.9219587833910715,1.0253148613320184,0.150997859,COAD,
TCGA-CM-6165-01,0.9873483712757676,0.9395731990777602,1.0508477383613126,0.010999639,COAD,
TCGA-G4-6628-01,0.7283315003062575,0.7299772454653773,0.9977454843019515,0.000999989,COAD,
TCGA-CM-5348-01,1.0871119086851684,0.8720513002923104,1.2466146295760008,0.010999639,COAD,
TCGA-CM-4743-01,0.4291311944634995,0.4880068093048197,0.8793549316961575,0.090999347,COAD,
TCGA-DM-A28A-01,0.8942079422833723,0.9274540725688049,0.9641533405601967,0.000999989,COAD,
TCGA-NH-A8F8-01,0.6968248143159406,0.7143953250227956,0.9754050592278241,0.090999347,COAD,
TCGA-A6-6137-01,1.194824408948088,1.2453740575444188,0.959410067770319,0.000999989,COAD,
TCGA-DM-A1HB-01,0.5067542982201588,0.5760119328942924,0.8797635418312706,0.000999989,COAD,
TCGA-D5-5537-01,0.9696211532719652,1.0333900602434218,0.9382915421535645,0.010999639,COAD,
TCGA-A6-6649-01,0.9852243137407937,0.9395731990777602,1.0485870762467921,0.041000917,COAD,
TCGA-5M-AATE-01,1.0609680015260066,1.1421606578139976,0.9289131036579502,0.21099782,COAD,
TCGA-A6-A5ZU-01,0.7685086469608,0.8288584918957882,0.9271892059681329,0.000999989,COAD,
TCGA-DM-A288-01,0.6718115001204589,0.7826049343912442,0.8584299313714819,0.150997859,COAD,
