sample,median_of_rounded_avg_modal_copies_per_chr,median_of_unrounded_avg_modal_copies_per_chr
TCGA-P6-A5OG-01,1,1.007828815
TCGA-R6-A6L4-01,1,1.090508445
TCGA-05-5425-01,1,1.011206591
TCGA-BS-A0TE-01,1,1.003148755
TCGA-78-7160-01,1,1.147847114
TCGA-OR-A5K3-01,1,1
TCGA-OR-A5LH-01,1,1
TCGA-83-5908-01,1,1.056347497
TCGA-OR-A5JR-01,1,1.000549813
TCGA-D7-6820-01,1,1.322979619
TCGA-OR-A5J3-01,1,1
TCGA-58-A46N-01,1,1.343880532
TCGA-KL-8330-01,1,1
TCGA-OR-A5JF-01,1,1.000936943
TCGA-HU-A4GD-01,1,1.306083881
TCGA-66-2770-01,1,1
TCGA-FS-A4F8-06,1,1.063731968
TCGA-73-4676-01,1,1.008985478
TCGA-AP-A0LH-01,1,1.006472943
TCGA-06-0184-01,1,1
TCGA-A8-A07Z-01,1,1
TCGA-49-AAR0-01,1,1.418837406
TCGA-OR-A5K4-01,1,1
TCGA-ZB-A96F-01,1,1
TCGA-D8-A1J8-01,1,1.30422468
TCGA-AC-A6IW-01,1,1.306486126
TCGA-OR-A5KW-01,1,1.152661281
TCGA-BQ-5891-01,1,1
TCGA-06-6698-01,1,1
TCGA-HT-7604-01,1,1
TCGA-OR-A5KO-01,1,1.206090254
TCGA-G7-6789-01,1,1.001722389
TCGA-3A-A9IN-01,1,1
TCGA-2Z-A9JI-01,1,1.442134367
TCGA-D1-A16O-01,1,1
TCGA-B3-3926-01,1,1
TCGA-06-5858-01,1,1
TCGA-CG-5734-01,1,1
TCGA-D3-A3MR-06,1,1.000381962
TCGA-KD-A5QU-01,1,1.373360379
TCGA-2H-A9GO-01,1,1.435114373
TCGA-PA-A5YG-01,1,1
TCGA-EY-A214-01,1,1.162525594
TCGA-OR-A5LR-01,1,1
TCGA-02-0113-01,1,1
TCGA-BR-6801-01,1,1
TCGA-OR-A5L9-01,1,1
TCGA-BH-A0B3-01,1,1.180554662
TCGA-KO-8413-01,1,1
TCGA-HE-7129-01,1,1
TCGA-OR-A5LP-01,1,1
TCGA-D3-A3MO-06,1,1
TCGA-OR-A5JZ-01,1,1.00003936
TCGA-MP-A4TC-01,1,1.090275235
TCGA-56-8503-01,1,1.397160006
TCGA-75-6205-01,1,1
TCGA-XF-A9SI-01,1,1.186510181
TCGA-39-5019-01,1,1.082402397
TCGA-OR-A5LJ-01,1,1.002215329
TCGA-KN-8433-01,1,1.136490013
TCGA-19-1787-01,1,1
TCGA-BQ-7051-01,1,1
TCGA-HU-8610-01,1,1
TCGA-OR-A5J2-01,1,1
TCGA-OR-A5JL-01,1,1.000424977
TCGA-JU-AAVI-01,1,1.380223556
TCGA-55-6970-01,1,1
TCGA-OR-A5K8-01,1,1.304860354
TCGA-55-A57B-01,1,1.185187284
TCGA-OR-A5K1-01,1,1
TCGA-OR-A5J8-01,1,1.001129904
TCGA-EW-A1IY-01,1,1.001444818
TCGA-AR-A0TS-01,1.5,1.50168465
TCGA-OR-A5LB-01,1.5,1.429419066
TCGA-58-A46K-01,1.5,1.48987423
TCGA-DX-A3LT-01,1.5,1.456052228
TCGA-5P-A9K9-01,1.5,1.465830663
TCGA-KL-8336-01,1.5,1.445645795
TCGA-KO-8410-01,1.5,1.498173376
TCGA-VQ-A94P-01,1.5,1.540036237
TCGA-44-6777-01,1.5,1.582320242
TCGA-64-1676-01,1.5,1.513266676
TCGA-CV-7433-01,1.5,1.573154588
TCGA-BT-A20N-01,1.5,1.642403899
TCGA-39-5011-01,1.5,1.490044021
TCGA-E2-A1II-01,1.5,1.539240982
TCGA-DX-A6B8-01,1.5,1.473304934
TCGA-ER-A199-06,1.5,1.571695812
TCGA-AO-A0J7-01,1.5,1.727500799
TCGA-IN-A6RJ-01,1.5,1.501302266
TCGA-F9-A7Q0-01,1.5,1.498995258
TCGA-BG-A18C-01,1.5,1.54296301
TCGA-OR-A5JH-01,1.5,1.369795866
TCGA-A8-A0A7-01,1.5,1.489007438
TCGA-OR-A5JQ-01,1.5,1.49881499
TCGA-LK-A4O0-01,1.5,1.487046381
TCGA-FB-A7DR-01,1.5,1.502514923
TCGA-OR-A5JK-01,1.5,1.666385707
TCGA-44-6779-01,1.5,1.490235373
TCGA-63-A5MH-01,1.5,1.502597492
TCGA-P5-A5F6-01,1.5,1.648817682
TCGA-NC-A5HM-01,1.5,1.574224815
TCGA-97-7553-01,1.5,1.495366451
TCGA-KN-8426-01,1.5,1.336376254
TCGA-KN-8423-01,1.5,1.5
TCGA-KN-8430-01,1.5,1.500092562
TCGA-E2-A159-01,1.5,1.458884828
TCGA-GL-7966-01,1.5,1.677653016
TCGA-SI-A71O-01,1.5,1.542227589
TCGA-DX-A48P-01,2,1.999183189
TCGA-EJ-A8FO-01,2,2
TCGA-XJ-A83G-01,2,1.987052016
TCGA-BR-8372-01,2,2
TCGA-MI-A75C-01,2,2
TCGA-A2-A0YF-01,2,2
TCGA-09-2045-01,2,2
TCGA-06-6695-01,2,2
TCGA-09-2053-01,2,1.822600484
TCGA-DU-6542-01,2,2
TCGA-3U-A98H-01,2,2
TCGA-3H-AB3L-01,2,1.895792902
TCGA-61-2092-01,2,2.022032889
TCGA-06-0882-01,2,1.997620252
TCGA-PG-A7D5-01,2,1.825127653
TCGA-2L-AAQJ-01,2,1.999244795
TCGA-Y8-A898-01,2,2
TCGA-BH-A0E2-01,2,2
TCGA-EE-A2GL-06,2,2
TCGA-F2-6879-01,2,2.001364553
TCGA-2G-AALO-01,2,2.168649842
TCGA-HN-A2OB-01,2,2
TCGA-FG-6688-01,2,2
TCGA-AA-3975-01,2,2
TCGA-MQ-A6BR-01,2,2
TCGA-13-0910-01,2,1.842247293
TCGA-GR-A4D9-01,2,2
TCGA-E3-A3E5-01,2,2
TCGA-67-3772-01,2,2
TCGA-A5-A0GX-01,2,2
TCGA-HC-7742-01,2,2
TCGA-CR-7382-01,2,2
TCGA-A3-3317-01,2,2
TCGA-QR-A6H1-01,2,2
TCGA-P3-A6T0-01,2,2
TCGA-DU-6405-01,2,2
TCGA-CJ-4875-01,2,2
TCGA-DD-AADC-01,2,2.000494401
TCGA-C8-A1HO-01,2,2
TCGA-XM-A8R8-01,2,2
TCGA-06-2569-01,2,2.000548945
TCGA-3B-A9I0-01,2,1.999547457
TCGA-TM-A7CF-02,2,2
TCGA-BP-4169-01,2,2
TCGA-DJ-A2PS-01,2,2
TCGA-LN-A49P-01,2,2.14423107
TCGA-HD-A6I0-01,2,2
TCGA-WY-A85D-01,2,2
TCGA-GF-A6C9-06,2,1.806722693
TCGA-E2-A10A-01,2,2
TCGA-AB-2901-03,2,2.001018901
TCGA-KK-A6E3-01,2,2
TCGA-HT-7474-01,2,2
TCGA-V7-A7HQ-01,2,2
TCGA-BG-A0VT-01,2,2
TCGA-X6-A7WB-01,2,1.834141592
TCGA-AB-2850-03,2,2
TCGA-LN-A9FR-01,2,1.568961159
TCGA-HU-A4HB-01,2,2
TCGA-E2-A1L6-01,2,2
TCGA-A3-3320-01,2,2
TCGA-AA-3848-01,2,1.999738139
TCGA-06-0145-01,2,2.007143122
TCGA-E1-A7YJ-01,2,1.999823944
TCGA-D1-A165-01,2,2
TCGA-85-8584-01,2,1.999203147
TCGA-EB-A551-01,2,1.99349246
TCGA-CW-5580-01,2,2
TCGA-CQ-7068-01,2,2
TCGA-CZ-4856-01,2,2
TCGA-BJ-A28S-01,2,2
TCGA-DD-A73A-01,2,2
TCGA-BH-A0AZ-01,2,1.945760068
TCGA-CG-5721-01,2,2
TCGA-L5-A8NS-01,2,1.771973346
TCGA-XF-A9SX-01,2,1.968851955
TCGA-BH-A1F8-01,2,1.719447143
TCGA-TQ-A7RQ-01,2,2
TCGA-B1-A47N-01,2,2
TCGA-02-2483-01,2,2
TCGA-A3-3311-01,2,2
TCGA-AB-2840-03,2,2
TCGA-V4-A9E7-01,2,2
TCGA-28-5211-01,2,2
TCGA-EE-A2A0-01,2,2
TCGA-B5-A1MV-01,2,2
TCGA-B5-A11U-01,2,2
TCGA-CR-7364-01,2,1.993526537
TCGA-HC-A9TH-01,2,1.986882828
TCGA-06-5859-01,2,1.865584713
TCGA-DD-A39V-01,2,2
TCGA-FS-A1ZN-01,2,2
TCGA-HZ-A77P-01,2,2
TCGA-EE-A2MG-06,2,1.836939761
TCGA-QF-A5YT-01,2,2
TCGA-JW-A5VJ-01,2,2.005449941
TCGA-36-1574-01,2,1.933810674
TCGA-L5-A8NL-01,2,1.899020678
TCGA-AC-A5EI-01,2,2.000436227
TCGA-EB-A44N-01,2,2
TCGA-A2-A3XU-01,2,1.999913081
TCGA-69-7765-01,2,2
TCGA-LN-A9FQ-01,2,1.957101085
TCGA-EL-A3TB-01,2,2
TCGA-DJ-A1QN-01,2,2
TCGA-4B-A93V-01,2,2.331747022
TCGA-06-0179-01,2,2
TCGA-A5-A0VP-01,2,2
TCGA-UD-AABZ-01,2,1.921009001
TCGA-13-A5FT-01,2,1.993731867
TCGA-M7-A720-01,2,2
