sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,autosome_median_gene_level_ratio,ratio_ne_e,ratio_ne_a,ratio_e_a,XIST_TPM,Classification,Secondary_Class
TCGA-KL-8335-01,0.716900446,0.690336975,0.757495683,1.038478992,0.946408623,0.911341134,0.010999639,KICH,
TCGA-KL-8345-01,0.966573176,0.972524688,0.918349103,0.993880348,1.0525117,1.058992364,0.000999989,KICH,
TCGA-KL-8343-01,0.871002288,0.764298532,0.972260147,1.139610049,0.895853122,0.786104968,0.020999518,KICH,
TCGA-KO-8408-01,0.767335216,0.723152948,0.81800835,1.061096713,0.938053036,0.884041035,0.050998549,KICH,
TCGA-KN-8419-01,0.9417395,0.998529579,0.834111452,0.943126292,1.129033174,1.197117695,0.000999989,KICH,
TCGA-KL-8332-01,0.793086783,0.78044659,0.826606645,1.016196102,0.959448836,0.944157169,0.000999989,KICH,
TCGA-KM-8443-01,0.715878517,0.658704704,0.722964643,1.086797336,0.990198517,0.91111607,0.020999518,KICH,
TCGA-KL-8341-01,1.236233873,1.077530813,1,1.147284011,1.236233873,1.077530813,0.000999989,KICH,
TCGA-KO-8405-01,0.713319291,0.719885998,0.862857762,0.990878129,0.826693949,0.834304366,0.061001985,KICH,
TCGA-KN-8426-01,0.763893198,0.809762433,0.886844999,0.943354701,0.861360439,0.913082257,0.071001829,KICH,
TCGA-KO-8409-01,0.321762015,0.366424444,0.470288267,0.878112854,0.684180401,0.779148598,0.000999989,KICH,
TCGA-KN-8435-01,1.237568313,1.169883455,1,1.057856069,1.237568313,1.169883455,0.000999989,KICH,
TCGA-KM-8477-01,0.466037989,0.583341764,0.626195869,0.798910721,0.744236767,0.931564376,0.000999989,KICH,
TCGA-KL-8344-01,1.19182469,1.153852119,1,1.032909391,1.19182469,1.153852119,0.000999989,KICH,
TCGA-KN-8436-01,1.013041582,0.876178068,0.925021366,1.156205136,1.095154792,0.947197654,0.030999742,KICH,
TCGA-KO-8411-01,1.01688351,0.996716474,0.89809623,1.020233473,1.132265648,1.109810331,0.000999989,KICH,
TCGA-KL-8333-01,1.077367721,1.095017091,1,0.983882105,1.077367721,1.095017091,0.010999639,KICH,
TCGA-KM-8639-01,1.281017755,1.156852366,1,1.107330367,1.281017755,1.156852366,0.000999989,KICH,
TCGA-KN-8427-01,0.698917827,0.60848953,1,1.148611099,0.698917827,0.60848953,0.000999989,KICH,
TCGA-KN-8430-01,0.931710623,0.924579305,0.950662786,1.007713041,0.980064263,0.972562846,0.000999989,KICH,
TCGA-KL-8326-01,0.342659282,0.393425269,0.489234906,0.870964092,0.70039827,0.804164348,0.000999989,KICH,
TCGA-KO-8407-01,0.809942589,0.790392382,0.938873312,1.024734812,0.862675058,0.841852007,0.000999989,KICH,
TCGA-KL-8337-01,0.865497615,0.876730461,0.891271799,0.987187801,0.971081567,0.983684732,0.090999347,KICH,
TCGA-KM-8440-01,0.853679935,0.861461205,0.834475438,0.990967359,1.023013855,1.0323386,0.061001985,KICH,
TCGA-KL-8339-01,1.159765123,1,1,1.159765123,1.159765123,1,0.000999989,KICH,
TCGA-KO-8413-01,1.089065215,1.015887532,1,1.072033252,1.089065215,1.015887532,0.000999989,KICH,
TCGA-KN-8425-01,0.886016152,0.877711363,0.96028904,1.009461868,0.922655695,0.914007477,0.000999989,KICH,
TCGA-KN-8428-01,1.462001402,1.251471666,1,1.168225732,1.462001402,1.251471666,0.000999989,KICH,
TCGA-KL-8340-01,0.835332627,0.826736399,0.864544292,1.010397786,0.966211488,0.956268414,0.061001985,KICH,
TCGA-KM-8442-01,1.23392761,1.15948508,1,1.064203094,1.23392761,1.15948508,0.030999742,KICH,
TCGA-KN-8423-01,1.341835038,1.135794689,1,1.181406332,1.341835038,1.135794689,0.030999742,KICH,
TCGA-KO-8416-01,0.544790495,0.546924688,0.580202741,0.996097831,0.938965738,0.942644096,0.000999989,KICH,
TCGA-KM-8476-01,0.386535665,0.357592954,0.49386606,1.080937586,0.782673069,0.724068696,0.150997859,KICH,
TCGA-KL-8338-01,0.736999996,0.831708111,0.792258835,0.886128181,0.930251533,1.049793419,0.300992616,KICH,
TCGA-KL-8346-01,0.622376953,0.583453273,0.71755981,1.066712592,0.867352023,0.813107514,0.000999989,KICH,
TCGA-KL-8328-01,0.656694064,0.546830054,0.677855347,1.200910701,0.968782008,0.806706116,0.000999989,KICH,
TCGA-KM-8439-01,0.658613918,0.618540348,0.946279946,1.064787316,0.69600325,0.653654715,0.000999989,KICH,
