sample,NE_median_gene_level_ratio,E_median_gene_level_ratio,autosome_median_gene_level_ratio,ratio_ne_e,ratio_ne_a,ratio_e_a,XIST_TPM,Classification,Secondary_Class
TCGA-KO-8404-01,0.782243867,0.991888927,1,0.788640588,0.782243867,0.991888927,13.72086946,KICH,
TCGA-XF-AAMG-01,0.988968703,1.150920744,0.867745771,0.859284801,1.139698672,1.326334028,5.170844786,BLCA,
TCGA-GV-A3JZ-01,0.901267232,0.563281524,0.728397257,1.600029814,1.23732925,0.773316372,3.751064317,BLCA,
TCGA-BT-A2LA-01,1.212007901,1.043095205,0.97022997,1.161934112,1.249196519,1.075100994,62.18091754,BLCA,
TCGA-FD-A6TB-01,0.690527301,0.766754489,0.830979713,0.900584621,0.830979734,0.922711442,98.61259383,BLCA,
TCGA-4Z-AA80-01,0.97059218,1.518771863,0.746837466,0.639063841,1.299602958,2.033604274,11.08087574,BLCA,
TCGA-FD-A3B8-01,1.109800468,0.966026973,0.864177923,1.14882969,1.284226822,1.117856575,8.430978031,BLCA,
TCGA-EI-6513-01,1.240313631,1.390615601,1,0.891916954,1.240313631,1.390615601,9.591124685,READ,
TCGA-ER-A19B-06,0.758801038,0.92523618,0.789324205,0.820116046,0.96133,1.17218777,73.82307872,SKCM,
TCGA-D3-A1Q9-06,0.61013099,0.818716852,0.662709633,0.745228327,0.920661116,1.235408105,14.82129908,SKCM,
TCGA-ER-A19H-06,0.916420004,1.108674156,0.92602074,0.826590932,0.989632267,1.197245491,48.31167608,SKCM,
TCGA-D3-A3MR-06,0.412911147,0.521349243,0.583452611,0.792004885,0.707702972,0.893558848,146.1493903,SKCM,
TCGA-BF-A3DM-01,0.962631361,1.004576064,0.900989863,0.958246364,1.068415307,1.11496933,18.1311685,SKCM,
TCGA-FR-A726-01,0.893593805,1.216482414,0.960705818,0.734571906,0.930143014,1.266238209,4.581118876,SKCM,
TCGA-D3-A2JH-06,0.948706118,0.919208103,0.899165002,1.032090682,1.055096802,1.022290793,23.01176919,SKCM,
TCGA-FS-A1ZQ-06,0.938014952,0.828167504,0.729199473,1.132639167,1.28636263,1.135721479,11.17110505,SKCM,
TCGA-EB-A4IS-01,0.910347923,0.904478988,0.913238642,1.006488747,0.996834651,0.990408144,52.48015224,SKCM,
TCGA-EE-A2GB-06,0.791544144,1.142283306,1,0.692949061,0.791544144,1.142283306,138.4191749,SKCM,
TCGA-EB-A299-01,0.638548563,0.690010291,0.773364955,0.925418898,0.825675587,0.892218204,15.68050372,SKCM,
TCGA-GN-A4U8-06,0.615575858,0.675906077,0.672649719,0.910741712,0.915150695,1.00484109,10.24110867,SKCM,
TCGA-EE-A2GE-06,0.811791954,0.836023441,0.702220434,0.97101578,1.15603579,1.190542742,6.701109585,SKCM,
TCGA-FB-AAPZ-01,0.993245275,1.02615227,0.879724397,0.967931665,1.129041412,1.166447439,36.69979247,PAAD,
TCGA-2J-AABK-01,0.816240222,0.836320508,0.826088778,0.975989724,0.98807809,1.012385751,21.14141449,PAAD,
TCGA-2J-AAB8-01,0.925849603,1.149555833,1,0.805397682,0.925849603,1.149555833,8.701113274,PAAD,
TCGA-S9-A6TW-01,0.589014808,0.624778925,0.556434781,0.942757165,1.058551385,1.122825076,8.761027013,LGG,
TCGA-85-8287-01,0.718122544,0.687774545,0.718196723,1.044124923,0.999896715,0.957640884,32.05994399,LUSC,
TCGA-37-4130-01,0.290760057,0.203478973,0.366302517,1.428943997,0.793770295,0.555494335,69.62338246,LUSC,
TCGA-77-8143-01,0.548936252,0.620458154,0.68684538,0.884727275,0.799213721,0.903344729,45.27052084,LUSC,
TCGA-56-8629-01,0.892332205,0.641426853,0.82468286,1.391167521,1.08203074,0.777786085,28.14096702,LUSC,
TCGA-66-2754-01,0.565269407,0.51328089,0.682332851,1.10128668,0.828436453,0.752244142,30.29063673,LUSC,
