Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Chromosome/scaffold name,Gene start (bp hg19),Gene end (bp hg19),Gene name,Source of gene name
ENSG00000182378,ENSG00000182378.15,ENST00000399012,ENST00000399012.6,X,276322,303356,PLCXD1,HGNC Symbol
ENSG00000178605,ENSG00000178605.13,ENST00000485332,ENST00000485332.7,X,304529,318819,GTPBP6,HGNC Symbol
ENSG00000226179,ENSG00000226179.6,ENST00000391707,ENST00000391707.7,X,320990,321851,LINC00685,HGNC Symbol
ENSG00000167393,ENSG00000167393.18,ENST00000390665,ENST00000390665.9,X,333933,386955,PPP2R3B,HGNC Symbol
ENSG00000234958,ENSG00000234958.6,ENST00000452144,ENST00000452144.6,X,523775,524102,FABP5P13,HGNC Symbol
ENSG00000229232,ENSG00000229232.6,ENST00000431919,ENST00000431919.6,X,545236,545352,KRT18P53,HGNC Symbol
ENSG00000185960,ENSG00000185960.14,ENST00000381578,ENST00000381578.6,X,624344,659411,SHOX,HGNC Symbol
ENSG00000225661,ENSG00000225661.7,ENST00000436474,ENST00000436474.6,X,1008503,1010101,RPL14P5,HGNC Symbol
ENSG00000205755,ENSG00000205755.12,ENST00000400841,ENST00000400841.8,X,1187549,1212723,CRLF2,HGNC Symbol
ENSG00000198223,ENSG00000198223.17,ENST00000381529,ENST00000381529.9,X,1268800,1310381,CSF2RA,HGNC Symbol
ENSG00000265658,ENSG00000265658.6,ENST00000580266,ENST00000580266.6,X,1293918,1293992,MIR3690,HGNC Symbol
ENSG00000223274,ENSG00000223274.6,ENST00000411342,ENST00000411342.6,X,1300256,1300375,RNA5SP498,HGNC Symbol
ENSG00000185291,ENSG00000185291.12,ENST00000331035,ENST00000331035.10,X,1336616,1382689,IL3RA,HGNC Symbol
ENSG00000169100,ENSG00000169100.14,ENST00000381401,ENST00000381401.11,X,1386152,1392113,SLC25A6,HGNC Symbol
ENSG00000236871,ENSG00000236871.7,ENST00000434938,ENST00000434938.7,X,1396427,1399402,LINC00106,HGNC Symbol
ENSG00000236017,ENSG00000236017.8,ENST00000443929,ENST00000443929.6,X,1401769,1414028,ASMTL-AS1,HGNC Symbol
ENSG00000169093,ENSG00000169093.16,ENST00000381317,ENST00000381317.9,X,1403139,1453762,ASMTL,HGNC Symbol
ENSG00000182162,ENSG00000182162.11,ENST00000381297,ENST00000381297.10,X,1462581,1537185,P2RY8,HGNC Symbol
ENSG00000197976,ENSG00000197976.12,ENST00000313871,ENST00000313871.9,X,1591604,1602520,AKAP17A,HGNC Symbol
ENSG00000196433,ENSG00000196433.13,ENST00000381241,ENST00000381241.9,X,1615059,1643081,ASMT,HGNC Symbol
ENSG00000169084,ENSG00000169084.15,ENST00000334651,ENST00000334651.11,X,2219506,2502805,DHRSX,HGNC Symbol
ENSG00000223571,ENSG00000223571.6,ENST00000437244,ENST00000437244.6,X,2334295,2336410,DHRSX-IT1,HGNC Symbol
ENSG00000214717,ENSG00000214717.12,ENST00000381222,ENST00000381222.8,X,2486414,2500976,ZBED1,HGNC Symbol
ENSG00000277120,ENSG00000277120.5,ENST00000616698,ENST00000616698.5,X,2609191,2609254,MIR6089,HGNC Symbol
ENSG00000223773,ENSG00000223773.7,ENST00000431582,ENST00000431582.6,X,2609348,2657229,CD99P1,HGNC Symbol
ENSG00000230542,ENSG00000230542.6,ENST00000445785,ENST00000445785.6,X,2612988,2615347,LINC00102,HGNC Symbol
ENSG00000002586,ENSG00000002586.20,ENST00000611428,ENST00000611428.5,X,2691187,2741309,CD99,HGNC Symbol
ENSG00000124343,ENSG00000124343.14,ENST00000644266,ENST00000644266.2,X,2752040,2816500,XG,HGNC Symbol
ENSG00000056998,ENSG00000056998.20,ENST00000381163,ENST00000381163.7,X,2828822,2882820,GYG2,HGNC Symbol
ENSG00000235483,ENSG00000235483.1,ENST00000445107,ENST00000445107.1,X,2852740,2853760,GYG2-AS1,HGNC Symbol
ENSG00000006756,ENSG00000006756.16,ENST00000381154,ENST00000381154.6,X,2903972,2929349,ARSD,HGNC Symbol
ENSG00000229851,ENSG00000229851.1,ENST00000414053,ENST00000414053.1,X,2904904,2906081,ARSD-AS1,HGNC Symbol
ENSG00000157399,ENSG00000157399.17,ENST00000683191,ENST00000683191.1,X,2934045,2968475,ARSL,HGNC Symbol
ENSG00000205667,ENSG00000205667.3,ENST00000381130,ENST00000381130.3,X,3006546,3034111,ARSH,HGNC Symbol
ENSG00000062096,ENSG00000062096.15,ENST00000381127,ENST00000381127.6,X,3041471,3112727,ARSF,HGNC Symbol
ENSG00000239228,ENSG00000239228.3,ENST00000477781,ENST00000477781.3,X,3058220,3058502,RN7SL578P,HGNC Symbol
ENSG00000230249,ENSG00000230249.1,ENST00000443851,ENST00000443851.1,X,3112900,3113596,RPS24P21,HGNC Symbol
ENSG00000228459,ENSG00000228459.4,ENST00000457435,ENST00000457435.2,X,3271544,3286138,LINC01546,HGNC Symbol
ENSG00000101825,ENSG00000101825.8,ENST00000217939,ENST00000217939.7,X,3308565,3346652,MXRA5,HGNC Symbol
ENSG00000213487,ENSG00000213487.3,ENST00000439462,ENST00000439462.1,X,3367149,3368382,ASS1P4,HGNC Symbol
ENSG00000212214,ENSG00000212214.1,ENST00000390912,ENST00000390912.1,X,3532117,3532251,SNORA48B,HGNC Symbol
ENSG00000207435,ENSG00000207435.1,ENST00000384704,ENST00000384704.1,X,3572857,3572961,RNU6-114P,HGNC Symbol
ENSG00000183943,ENSG00000183943.6,ENST00000262848,ENST00000262848.6,X,3604340,3713649,PRKX,HGNC Symbol
ENSG00000207332,ENSG00000207332.1,ENST00000384602,ENST00000384602.1,X,3607258,3607365,RNU6-146P,HGNC Symbol
ENSG00000236188,ENSG00000236188.1,ENST00000414074,ENST00000414074.1,X,3659487,3668192,PRKX-AS1,HGNC Symbol
ENSG00000182888,ENSG00000182888.5,ENST00000329806,ENST00000329806.5,X,3717149,3717600,RPS27AP20,HGNC Symbol
ENSG00000225722,ENSG00000225722.1,ENST00000427883,ENST00000427883.1,X,3953056,3953561,RPL24P9,HGNC Symbol
ENSG00000235039,ENSG00000235039.1,ENST00000428247,ENST00000428247.1,X,5168918,5169439,MTND6P12,HGNC Symbol
ENSG00000226313,ENSG00000226313.1,ENST00000440559,ENST00000440559.1,X,5169512,5170645,MTCYBP12,HGNC Symbol
ENSG00000238193,ENSG00000238193.1,ENST00000434972,ENST00000434972.1,X,5305714,5307128,HADHBP1,HGNC Symbol
ENSG00000146938,ENSG00000146938.16,ENST00000477079,ENST00000477079.1,X,5840637,6228867,NLGN4X,HGNC Symbol
ENSG00000265284,ENSG00000265284.1,ENST00000579149,ENST00000579149.1,X,6383906,6383963,MIR4770,HGNC Symbol
ENSG00000237730,ENSG00000237730.1,ENST00000437297,ENST00000437297.1,X,6422092,6422701,RPS5P8,HGNC Symbol
ENSG00000169059,ENSG00000169059.12,ENST00000381089,ENST00000381089.7,X,6533618,6535118,VCX3A,HGNC Symbol
ENSG00000130021,ENSG00000130021.15,ENST00000438499,ENST00000438499.1,X,6667865,7148158,PUDP,HGNC Symbol
ENSG00000237490,ENSG00000237490.3,ENST00000463344,ENST00000463344.1,X,6989329,6989783,RPS27AP17,HGNC Symbol
ENSG00000101846,ENSG00000101846.8,ENST00000664306,ENST00000664306.2,X,7147237,7804358,STS,HGNC Symbol
ENSG00000264268,ENSG00000264268.1,ENST00000582827,ENST00000582827.1,X,7147860,7147937,MIR4767,HGNC Symbol
ENSG00000182583,ENSG00000182583.12,ENST00000381059,ENST00000381059.7,X,7842262,7844143,VCX,HGNC Symbol
ENSG00000006757,ENSG00000006757.12,ENST00000381042,ENST00000381042.9,X,7898247,7927739,PNPLA4,HGNC Symbol
ENSG00000207628,ENSG00000207628.3,ENST00000384896,ENST00000384896.3,X,8126965,8127061,MIR651,HGNC Symbol
ENSG00000177504,ENSG00000177504.10,ENST00000317103,ENST00000317103.5,X,8169944,8171267,VCX2,HGNC Symbol
ENSG00000205642,ENSG00000205642.10,ENST00000381032,ENST00000381032.6,X,8464830,8466510,VCX3B,HGNC Symbol
ENSG00000011201,ENSG00000011201.12,ENST00000262648,ENST00000262648.8,X,8528874,8732137,ANOS1,HGNC Symbol
ENSG00000225574,ENSG00000225574.1,ENST00000437611,ENST00000437611.1,X,8783514,8784461,DRAXINP1,HGNC Symbol
ENSG00000183304,ENSG00000183304.10,ENST00000381003,ENST00000381003.7,X,8790795,8801383,FAM9A,HGNC Symbol
ENSG00000231619,ENSG00000231619.1,ENST00000422795,ENST00000422795.1,X,8856665,8857059,ANAPC15P1,HGNC Symbol
ENSG00000225271,ENSG00000225271.1,ENST00000436419,ENST00000436419.1,X,8980425,8982505,NOLC1P1,HGNC Symbol
ENSG00000177138,ENSG00000177138.17,ENST00000362066,ENST00000362066.7,X,9024232,9295682,FAM9B,HGNC Symbol
ENSG00000200852,ENSG00000200852.1,ENST00000363982,ENST00000363982.1,X,9133828,9133946,RNA5SP499,HGNC Symbol
ENSG00000219870,ENSG00000219870.2,ENST00000434191,ENST00000434191.1,X,9179385,9179606,BRK1P1,HGNC Symbol
ENSG00000101849,ENSG00000101849.18,ENST00000407597,ENST00000407597.7,X,9463320,9741037,TBL1X,HGNC Symbol
ENSG00000101850,ENSG00000101850.13,ENST00000467482,ENST00000467482.6,X,9725346,9786297,GPR143,HGNC Symbol
ENSG00000146950,ENSG00000146950.13,ENST00000380913,ENST00000380913.8,X,9786429,9949443,SHROOM2,HGNC Symbol
ENSG00000215319,ENSG00000215319.2,ENST00000400019,ENST00000400019.2,X,9818239,9819469,EIF5P1,HGNC Symbol
ENSG00000230326,ENSG00000230326.1,ENST00000432945,ENST00000432945.1,X,9865093,9865543,HMGN1P33,HGNC Symbol
ENSG00000234469,ENSG00000234469.4,ENST00000445307,ENST00000445307.4,X,9967358,9968352,CLDN34,HGNC Symbol
ENSG00000047644,ENSG00000047644.19,ENST00000380861,ENST00000380861.9,X,10015254,10144474,WWC3,HGNC Symbol
ENSG00000225076,ENSG00000225076.1,ENST00000430057,ENST00000430057.1,X,10024842,10038654,WWC3-AS1,HGNC Symbol
ENSG00000073464,ENSG00000073464.13,ENST00000380833,ENST00000380833.9,X,10156975,10237660,CLCN4,HGNC Symbol
ENSG00000101871,ENSG00000101871.16,ENST00000453318,ENST00000453318.6,X,10445310,10833654,MID1,HGNC Symbol
ENSG00000207202,ENSG00000207202.1,ENST00000384473,ENST00000384473.1,X,10582817,10582919,RNU6-800P,HGNC Symbol
ENSG00000004961,ENSG00000004961.15,ENST00000321143,ENST00000321143.8,X,11111301,11123086,HCCS,HGNC Symbol
ENSG00000047648,ENSG00000047648.23,ENST00000657361,ENST00000657361.1,X,11117651,11665920,ARHGAP6,HGNC Symbol
ENSG00000125363,ENSG00000125363.14,ENST00000380714,ENST00000380714.7,X,11293413,11300761,AMELX,HGNC Symbol
ENSG00000263652,ENSG00000263652.1,ENST00000580117,ENST00000580117.1,X,11318614,11318686,MIR548AX,HGNC Symbol
ENSG00000232392,ENSG00000232392.1,ENST00000446186,ENST00000446186.1,X,11334233,11335901,GOT2P7,HGNC Symbol
ENSG00000223418,ENSG00000223418.1,ENST00000422830,ENST00000422830.1,X,11704123,11705590,LIMK2P1,HGNC Symbol
ENSG00000005302,ENSG00000005302.19,ENST00000361672,ENST00000361672.6,X,11758159,11775772,MSL3,HGNC Symbol
ENSG00000169933,ENSG00000169933.16,ENST00000656302,ENST00000656302.1,X,11822423,12724523,FRMPD4,HGNC Symbol
ENSG00000223487,ENSG00000223487.1,ENST00000425057,ENST00000425057.1,X,12373167,12375133,FRMPD4-AS1,HGNC Symbol
ENSG00000231211,ENSG00000231211.2,ENST00000443728,ENST00000443728.1,X,12395757,12396167,RPL17P49,HGNC Symbol
ENSG00000271814,ENSG00000271814.1,ENST00000606842,ENST00000606842.1,X,12614003,12614197,RN7SKP290,HGNC Symbol
ENSG00000101911,ENSG00000101911.13,ENST00000380663,ENST00000380663.7,X,12791355,12824222,PRPS2,HGNC Symbol
ENSG00000229083,ENSG00000229083.1,ENST00000457574,ENST00000457574.1,X,12825840,12826833,PSMA6P2,HGNC Symbol
