Composite Element REF,Chromosome,Start,End,Gene_Symbol,Gene_Type,Transcript_ID,Position_to_TSS,CGI_Coordinate,Feature_Type
cg00014152,chrX,48598740,48598741,WDR13;WDR13;WDR13;WDR13;WDR13;WDR13;WDR13;WDR13;WDR13,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000218056.8;ENST00000376729.8;ENST00000466962.1;ENST00000470124.1;ENST00000479279.4;ENST00000486125.4;ENST00000492715.1;ENST00000495575.1;ENST00000498631.4,1247;1261;19;8697;930;1224;1205;-825;1232,CGI:chrX:48598722-48598950,Island
cg00018261,chrX,118823726,118823727,ZCCHC12,protein_coding,ENST00000310164.2,-65,CGI:chrX:118823652-118823974,Island
cg00026186,chrX,48508842,48508843,AF196972.9;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN;PORCN,antisense;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000445586.1;ENST00000326194.9;ENST00000355961.7;ENST00000359882.7;ENST00000361988.6;ENST00000367574.7;ENST00000470275.2;ENST00000472520.4;ENST00000485288.5;ENST00000486272.1;ENST00000489940.4;ENST00000491243.4;ENST00000528612.4;ENST00000537758.4,-3;-937;-161;-121;-199;-980;-835;-151;-153;-125;-189;-190;-170;-980,CGI:chrX:48508777-48509354,Island
cg00040455,chrX,30308559,30308560,NR0B1;NR0B1,protein_coding;protein_coding,ENST00000378963.1;ENST00000378970.4,-70;1040,CGI:chrX:30308322-30309551,Island
cg00108056,chrX,154398976,154398977,RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;RPL10;SNORA70;XX-FW83563B9.5,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;snoRNA;antisense,ENST00000344746.7;ENST00000369817.5;ENST00000406022.5;ENST00000424325.5;ENST00000427682.4;ENST00000428169.1;ENST00000436473.4;ENST00000449494.4;ENST00000451365.1;ENST00000458500.4;ENST00000467168.4;ENST00000482732.1;ENST00000485196.4;ENST00000489200.4;ENST00000491035.4;ENST00000492572.4;ENST00000618723.3;ENST00000384436.1;ENST00000624054.1,603;1821;85;745;-908;-908;608;-908;-391;597;478;587;596;598;598;9020;745;-1306;-159,CGI:chrX:154397754-154398983,Island
cg00112256,chrX,118495965,118495966,DOCK11;DOCK11,protein_coding;protein_coding,ENST00000276202.7;ENST00000276204.9,55;66,CGI:chrX:118495823-118496506,Island
cg00113623,chrX,154411884,154411885,DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;DNASE1L1;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ;TAZ,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000309585.8;ENST00000369809.4;ENST00000393638.4;ENST00000424626.4;ENST00000432135.1;ENST00000451865.4;ENST00000369776.7;ENST00000426231.4;ENST00000439735.2;ENST00000475699.4;ENST00000476679.4;ENST00000476800.1;ENST00000479875.1;ENST00000483780.4;ENST00000601016.4;ENST00000612012.3;ENST00000612460.3;ENST00000613002.3;ENST00000613634.3;ENST00000614595.1;ENST00000615658.3;ENST00000615986.3;ENST00000616020.3;ENST00000617701.3;ENST00000620808.3;ENST00000621647.1,229;207;207;208;206;200;124;-278;53;342;-832;-1208;-838;-320;327;327;327;342;359;258;365;322;342;321;309;324,CGI:chrX:154411398-154412338,Island
cg00114625,chrX,24465361,24465362,PDK3;PDK3,protein_coding;protein_coding,ENST00000379162.7;ENST00000441463.2,139;-96,CGI:chrX:24464899-24465830,Island
cg00115511,chrX,46545364,46545365,ZNF674;ZNF674;ZNF674;ZNF674;ZNF674;ZNF674-AS1;ZNF674-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;lincRNA;lincRNA,ENST00000414387.5;ENST00000518708.1;ENST00000521626.4;ENST00000522017.4;ENST00000523374.4;ENST00000421685.2;ENST00000609887.1,-752;61;57;94;78;-130;-148,CGI:chrX:46545199-46545730,Island
cg00142683,chrX,119574660,119574661,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,123;192;88;110;113;-89;81;96;96,CGI:chrX:119574330-119575073,Island
cg00145348,chrX,55000429,55000430,APEX2;APEX2,protein_coding;protein_coding,ENST00000374987.3;ENST00000471758.1,71;35,CGI:chrX:54999926-55000552,Island
cg00179446,chrX,119852984,119852985,UPF3B;UPF3B;UPF3B,protein_coding;protein_coding;protein_coding,ENST00000276201.5;ENST00000345865.5;ENST00000619445.1,15;15;-12,CGI:chrX:119852721-119853289,Island
cg00200463,chrX,68693731,68693732,STARD8;STARD8;STARD8;STARD8,protein_coding;protein_coding;protein_coding;protein_coding,ENST00000252336.9;ENST00000374597.3;ENST00000374599.6;ENST00000523864.4,46061;79;45962;46061,CGI:chrX:68693457-68694292,Island
cg00230685,chrX,17737719,17737720,SCML1;SCML1;SCML1;SCML1;SCML1;SCML1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000380041.6;ENST00000380043.6;ENST00000380045.6;ENST00000398080.4;ENST00000419185.1;ENST00000427362.2,249;249;250;269;-7;167,CGI:chrX:17736933-17738528,Island
cg00240113,chrX,137566082,137566083,ZIC3;ZIC3,protein_coding;protein_coding,ENST00000287538.8;ENST00000370606.3,-61;-437,CGI:chrX:137565367-137568019,Island
cg00264378,chrX,49922696,49922697,CLCN5;CLCN5;CLCN5,protein_coding;protein_coding;protein_coding,ENST00000376088.6;ENST00000376091.6;ENST00000482218.2,80;30;-709,CGI:chrX:49922417-49923384,Island
cg00265812,chrX,47659180,47659181,UXT;UXT;UXT;UXT;UXT-AS1;UXT-AS1,protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000333119.6;ENST00000335890.2;ENST00000376964.3;ENST00000485641.4;ENST00000590504.1;ENST00000591832.1,-18;-62;-27;-72;326;346,CGI:chrX:47658616-47659451,Island
cg00266918,chrX,17737421,17737422,SCML1;SCML1;SCML1;SCML1;SCML1;SCML1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000380041.6;ENST00000380043.6;ENST00000380045.6;ENST00000398080.4;ENST00000419185.1;ENST00000427362.2,-49;-49;-48;-29;-305;-131,CGI:chrX:17736933-17738528,Island
cg00276426,chrX,107000315,107000316,MORC4;MORC4,protein_coding;protein_coding,ENST00000255495.7;ENST00000355610.7,-236;-70,CGI:chrX:106999276-107000363,Island
cg00402910,chrX,110317993,110317994,AMMECR1;AMMECR1;AMMECR1;AMMECR1;AMMECR1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000262844.8;ENST00000372057.1;ENST00000372059.5;ENST00000473662.1;ENST00000496695.1,247;122241;92;-221;-236,CGI:chrX:110317475-110318322,Island
cg00428012,chrX,77910720,77910721,ATP7A;ATP7A;ATP7A;RP5-1000K24.2,protein_coding;protein_coding;protein_coding;transcribed_processed_pseudogene,ENST00000341514.9;ENST00000343533.8;ENST00000350425.5;ENST00000602791.1,17;63;-8;-22,CGI:chrX:77910427-77910798,Island
cg00428314,chrX,119574867,119574868,UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A;UBE2A,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000346330.5;ENST00000371558.5;ENST00000469205.2;ENST00000625379.1;ENST00000625938.1;ENST00000628549.1;ENST00000629303.1;ENST00000630695.1;ENST00000631185.1,330;399;295;317;320;118;288;303;303,CGI:chrX:119574330-119575073,Island
cg00457389,chrX,18354616,18354617,SCML2,protein_coding,ENST00000251900.7,112,CGI:chrX:18353777-18355028,Island
cg00458505,chrX,17375326,17375327,NHS,protein_coding,ENST00000380060.6,-95,CGI:chrX:17375036-17377694,Island
cg00466309,chrX,149541027,149541028,CXorf40A;CXorf40A;CXorf40A;CXorf40A;CXorf40A;CXorf40A;CXorf40A;CXorf40A;CXorf40A;CXorf40A;LINC00893;LINC00893;LINC00893;LINC00893;LINC00893;LINC00893;LINC00893;LINC00893,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense;antisense;antisense;antisense;antisense;antisense;antisense,ENST00000393985.6;ENST00000423421.4;ENST00000423540.5;ENST00000428236.4;ENST00000431132.5;ENST00000434353.5;ENST00000441248.4;ENST00000448332.1;ENST00000450602.5;ENST00000514208.4;ENST00000447209.4;ENST00000608342.4;ENST00000608355.1;ENST00000608616.4;ENST00000609161.4;ENST00000609314.4;ENST00000609651.4;ENST00000618757.3,52;51;43;-993;671;39;384;-411;396;2;-233;-572;-124;-213;-235;-67;-184;-1274,CGI:chrX:149540733-149541633,Island
cg00473354,chrX,48476025,48476026,FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1;FTSJ1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000019019.5;ENST00000348411.2;ENST00000396894.7;ENST00000473235.4;ENST00000485486.1;ENST00000487353.4;ENST00000492562.4,-137;-137;3;-194;-179;-236;-129,CGI:chrX:48475841-48476648,Island
cg00604086,chrX,68498806,68498807,YIPF6;YIPF6;YIPF6;YIPF6;YIPF6;YIPF6,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000374622.3;ENST00000374643.6;ENST00000451537.4;ENST00000462683.4;ENST00000462972.1;ENST00000470730.4,23;-244;243;482;-276;-229,CGI:chrX:68498621-68499229,Island
cg00607036,chrX,119871543,119871544,NDUFA1;RNF113A,protein_coding;protein_coding,ENST00000371437.4;ENST00000371442.3,55;285,CGI:chrX:119871288-119872254,Island
cg00622384,chrX,119791672,119791673,RPL39;RPL39,protein_coding;protein_coding,ENST00000361575.3;ENST00000468844.1,-28;-76,CGI:chrX:119791194-119792166,Island
cg00627024,chrX,23907749,23907750,APOO;APOO;CXorf58,protein_coding;protein_coding;protein_coding,ENST00000379226.7;ENST00000490078.1;ENST00000379211.6,186;155;-53,CGI:chrX:23907473-23908198,Island
cg00636562,chrX,47658737,47658738,UXT;UXT;UXT;UXT;UXT;UXT-AS1;UXT-AS1,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;antisense;antisense,ENST00000333119.6;ENST00000335890.2;ENST00000376964.3;ENST00000460840.4;ENST00000485641.4;ENST00000590504.1;ENST00000591832.1,425;381;416;-1237;371;-117;-97,CGI:chrX:47658616-47659451,Island
cg00645049,chrX,154428584,154428585,ATP6AP1;ATP6AP1;ATP6AP1;ATP6AP1;ATP6AP1;ATP6AP1;ATP6AP1;ATP6AP1;CH17-340M24.3,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;lincRNA,ENST00000369762.5;ENST00000422890.4;ENST00000429585.4;ENST00000439372.4;ENST00000446552.1;ENST00000449556.4;ENST00000455205.4;ENST00000491569.4;ENST00000360656.2,-49;-62;-158;-104;-106;-80;-115;-262;-104,CGI:chrX:154428387-154429017,Island
cg00680673,chrX,48958485,48958486,OTUD5;OTUD5;OTUD5;OTUD5;OTUD5;OTUD5;OTUD5,protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding,ENST00000156084.7;ENST00000376488.6;ENST00000396743.6;ENST00000428668.2;ENST00000455452.4;ENST00000484499.4;ENST00000610466.3,-853;-885;-853;-98;-1295;-1428;-590,CGI:chrX:48957005-48958632,Island
