 annotation_hg19 ,TSS_name,450k_DNAm_status,previous_data
" 2,746,862 ",GYG2,escape from XCI in 27 tissues,yes
" 2,847,415 ",ARSD,escape from XCI in 27 tissues,yes
" 3,264,683 ",MXRA5,escape from XCI in 27 tissues,yes
" 3,631,674 ",PRKX,escape from XCI in 27 tissues,yes
" 6,145,115 ",NLGN4X,escape from XCI in 27 tissues,yes
" 6,145,887 ",NLGN4X,escape from XCI in 27 tissues,yes
" 6,146,705 ",NLGN4X,escape from XCI in 27 tissues,yes
" 7,066,047 ",STS,escape from XCI in 27 tissues,yes
" 7,066,230 ",HDHD1,escape from XCI in 27 tissues,yes
" 7,895,474 ",PNPLA4,escape from XCI in 27 tissues,yes
" 8,700,226 ",KAL1,escape from XCI in 27 tissues,yes
" 9,431,334 ",TBL1X,escape from XCI in 27 tissues,yes
" 9,433,200 ",TBL1X,VE and escape from XCI,yes
" 9,754,495 ",SHROOM2,VE and escape from XCI,yes
" 9,983,794 ",WWC3,VE and subject to XCI,yes
" 11,129,257 ",AY660578,subject to XCI in 27 tissues,no therefore novel XCI status call
" 11,129,405 ",HCCS,subject to XCI in 27 tissues,yes
" 11,445,892 ",ARHGAP6,VE and subject to XCI,yes
" 11,683,820 ",ARHGAP6,VE and subject to XCI,yes
" 11,776,277 ",MSL3,subject to XCI in 27 tissues,yes
" 11,777,734 ",MSL3,subject to XCI in 27 tissues,yes
" 12,809,473 ",PRPS2,subject to XCI in 27 tissues,yes
" 13,671,224 ",TCEANC,VE and escape from XCI,yes
" 13,671,306 ",TCEANC,VE and escape from XCI,yes
" 13,707,239 ",RAB9A,escape from XCI in 27 tissues,yes
" 13,752,753 ",TRAPPC2,escape from XCI in 27 tissues,yes
" 13,752,831 ",OFD1,escape from XCI in 27 tissues,yes
" 13,956,533 ",GPM6B,escape from XCI in 27 tissues,yes
" 13,956,830 ",GPM6B,escape from XCI in 27 tissues,yes
" 14,048,034 ",GEMIN8,escape from XCI in 27 tissues,yes
" 14,547,419 ",GLRA2,VE and escape from XCI,yes
" 14,891,183 ",FANCB,subject to XCI in 27 tissues,yes
" 14,891,526 ",MOSPD2,subject to XCI in 27 tissues,yes
" 15,353,675 ",PIGA,subject to XCI in 27 tissues,yes
" 15,511,710 ",PIR,VE and escape from XCI,yes
" 15,693,038 ",CA5BP1,escape from XCI in 27 tissues,yes
" 15,756,411 ",CA5B,VE and escape from XCI,yes
" 15,808,573 ",ZRSR2,escape from XCI in 27 tissues,yes
" 15,873,099 ",AP1S2,escape from XCI in 27 tissues,yes
" 16,730,339 ",CTPS2,subject and escape from XCI,yes
" 16,730,774 ",CTPS2,escape from XCI in 27 tissues,yes
" 16,731,058 ",CTPS2,escape from XCI in 27 tissues,yes
" 16,737,706 ",SYAP1,escape from XCI in 27 tissues,yes
" 16,804,554 ",TXLNG,escape from XCI in 27 tissues,yes
" 16,888,533 ",RBBP7,VE and escape from XCI,yes
" 17,393,542 ",NHS,subject to XCI in 27 tissues,yes
